ICD-10-CM Code,ICD-10-CM Code Description,CCSR Category,CCSR Category Description,Default CCSR (Y/N/X),Rationale,Key-term
T368X2A,"Poisoning by other systemic antibiotics, intentional self-harm, initial encounter",MBD012,Suicidal ideation/attempt/intentional self-harm,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T368X2D,"Poisoning by other systemic antibiotics, intentional self-harm, subsequent encounter",MBD027,Suicide attempt/intentional self-harm; subsequent encounter,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T3692XA,"Poisoning by unspecified systemic antibiotic, intentional self-harm, initial encounter",MBD012,Suicidal ideation/attempt/intentional self-harm,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T3692XD,"Poisoning by unspecified systemic antibiotic, intentional self-harm, subsequent encounter",MBD027,Suicide attempt/intentional self-harm; subsequent encounter,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T370X2A,"Poisoning by sulfonamides, intentional self-harm, initial encounter",MBD012,Suicidal ideation/attempt/intentional self-harm,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T370X2D,"Poisoning by sulfonamides, intentional self-harm, subsequent encounter",MBD027,Suicide attempt/intentional self-harm; subsequent encounter,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T371X2A,"Poisoning by antimycobacterial drugs, intentional self-harm, initial encounter",MBD012,Suicidal ideation/attempt/intentional self-harm,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T371X2D,"Poisoning by antimycobacterial drugs, intentional self-harm, subsequent encounter",MBD027,Suicide attempt/intentional self-harm; subsequent encounter,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T372X2A,"Poisoning by antimalarials and drugs acting on other blood protozoa, intentional self-harm, initial encounter",MBD012,Suicidal ideation/attempt/intentional self-harm,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T372X2D,"Poisoning by antimalarials and drugs acting on other blood protozoa, intentional self-harm, subsequent encounter",MBD027,Suicide attempt/intentional self-harm; subsequent encounter,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T373X2A,"Poisoning by other antiprotozoal drugs, intentional self-harm, initial encounter",MBD012,Suicidal ideation/attempt/intentional self-harm,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T373X2D,"Poisoning by other antiprotozoal drugs, intentional self-harm, subsequent encounter",MBD027,Suicide attempt/intentional self-harm; subsequent encounter,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T374X2A,"Poisoning by anthelminthics, intentional self-harm, initial encounter",MBD012,Suicidal ideation/attempt/intentional self-harm,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T374X2D,"Poisoning by anthelminthics, intentional self-harm, subsequent encounter",MBD027,Suicide attempt/intentional self-harm; subsequent encounter,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T375X2A,"Poisoning by antiviral drugs, intentional self-harm, initial encounter",MBD012,Suicidal ideation/attempt/intentional self-harm,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T375X2D,"Poisoning by antiviral drugs, intentional self-harm, subsequent encounter",MBD027,Suicide attempt/intentional self-harm; subsequent encounter,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T378X2A,"Poisoning by other specified systemic anti-infectives and antiparasitics, intentional self-harm, initial encounter",MBD012,Suicidal ideation/attempt/intentional self-harm,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T378X2D,"Poisoning by other specified systemic anti-infectives and antiparasitics, intentional self-harm, subsequent encounter",MBD027,Suicide attempt/intentional self-harm; subsequent encounter,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T3792XA,"Poisoning by unspecified systemic anti-infective and antiparasitics, intentional self-harm, initial encounter",MBD012,Suicidal ideation/attempt/intentional self-harm,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T3792XD,"Poisoning by unspecified systemic anti-infective and antiparasitics, intentional self-harm, subsequent encounter",MBD027,Suicide attempt/intentional self-harm; subsequent encounter,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T380X2A,"Poisoning by glucocorticoids and synthetic analogues, intentional self-harm, initial encounter",MBD012,Suicidal ideation/attempt/intentional self-harm,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T380X2D,"Poisoning by glucocorticoids and synthetic analogues, intentional self-harm, subsequent encounter",MBD027,Suicide attempt/intentional self-harm; subsequent encounter,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T381X2A,"Poisoning by thyroid hormones and substitutes, intentional self-harm, initial encounter",MBD012,Suicidal ideation/attempt/intentional self-harm,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T381X2D,"Poisoning by thyroid hormones and substitutes, intentional self-harm, subsequent encounter",MBD027,Suicide attempt/intentional self-harm; subsequent encounter,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T382X2A,"Poisoning by antithyroid drugs, intentional self-harm, initial encounter",MBD012,Suicidal ideation/attempt/intentional self-harm,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T382X2D,"Poisoning by antithyroid drugs, intentional self-harm, subsequent encounter",MBD027,Suicide attempt/intentional self-harm; subsequent encounter,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T383X2A,"Poisoning by insulin and oral hypoglycemic [antidiabetic] drugs, intentional self-harm, initial encounter",MBD012,Suicidal ideation/attempt/intentional self-harm,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T383X2D,"Poisoning by insulin and oral hypoglycemic [antidiabetic] drugs, intentional self-harm, subsequent encounter",MBD027,Suicide attempt/intentional self-harm; subsequent encounter,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T384X2A,"Poisoning by oral contraceptives, intentional self-harm, initial encounter",MBD012,Suicidal ideation/attempt/intentional self-harm,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T384X2D,"Poisoning by oral contraceptives, intentional self-harm, subsequent encounter",MBD027,Suicide attempt/intentional self-harm; subsequent encounter,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T385X2A,"Poisoning by other estrogens and progestogens, intentional self-harm, initial encounter",MBD012,Suicidal ideation/attempt/intentional self-harm,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T385X2D,"Poisoning by other estrogens and progestogens, intentional self-harm, subsequent encounter",MBD027,Suicide attempt/intentional self-harm; subsequent encounter,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T386X2A,"Poisoning by antigonadotrophins, antiestrogens, antiandrogens, not elsewhere classified, intentional self-harm, initial encounter",MBD012,Suicidal ideation/attempt/intentional self-harm,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T386X2D,"Poisoning by antigonadotrophins, antiestrogens, antiandrogens, not elsewhere classified, intentional self-harm, subsequent encounter",MBD027,Suicide attempt/intentional self-harm; subsequent encounter,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T387X2A,"Poisoning by androgens and anabolic congeners, intentional self-harm, initial encounter",MBD012,Suicidal ideation/attempt/intentional self-harm,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T387X2D,"Poisoning by androgens and anabolic congeners, intentional self-harm, subsequent encounter",MBD027,Suicide attempt/intentional self-harm; subsequent encounter,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T38802A,"Poisoning by unspecified hormones and synthetic substitutes, intentional self-harm, initial encounter",MBD012,Suicidal ideation/attempt/intentional self-harm,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T38802D,"Poisoning by unspecified hormones and synthetic substitutes, intentional self-harm, subsequent encounter",MBD027,Suicide attempt/intentional self-harm; subsequent encounter,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T38812A,"Poisoning by anterior pituitary [adenohypophyseal] hormones, intentional self-harm, initial encounter",MBD012,Suicidal ideation/attempt/intentional self-harm,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T38812D,"Poisoning by anterior pituitary [adenohypophyseal] hormones, intentional self-harm, subsequent encounter",MBD027,Suicide attempt/intentional self-harm; subsequent encounter,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T38892A,"Poisoning by other hormones and synthetic substitutes, intentional self-harm, initial encounter",MBD012,Suicidal ideation/attempt/intentional self-harm,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T38892D,"Poisoning by other hormones and synthetic substitutes, intentional self-harm, subsequent encounter",MBD027,Suicide attempt/intentional self-harm; subsequent encounter,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T38902A,"Poisoning by unspecified hormone antagonists, intentional self-harm, initial encounter",MBD012,Suicidal ideation/attempt/intentional self-harm,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T38902D,"Poisoning by unspecified hormone antagonists, intentional self-harm, subsequent encounter",MBD027,Suicide attempt/intentional self-harm; subsequent encounter,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T38992A,"Poisoning by other hormone antagonists, intentional self-harm, initial encounter",MBD012,Suicidal ideation/attempt/intentional self-harm,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T38992D,"Poisoning by other hormone antagonists, intentional self-harm, subsequent encounter",MBD027,Suicide attempt/intentional self-harm; subsequent encounter,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T39012A,"Poisoning by aspirin, intentional self-harm, initial encounter",MBD012,Suicidal ideation/attempt/intentional self-harm,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T39012D,"Poisoning by aspirin, intentional self-harm, subsequent encounter",MBD027,Suicide attempt/intentional self-harm; subsequent encounter,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T39092A,"Poisoning by salicylates, intentional self-harm, initial encounter",MBD012,Suicidal ideation/attempt/intentional self-harm,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T39092D,"Poisoning by salicylates, intentional self-harm, subsequent encounter",MBD027,Suicide attempt/intentional self-harm; subsequent encounter,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T391X2A,"Poisoning by 4-Aminophenol derivatives, intentional self-harm, initial encounter",MBD012,Suicidal ideation/attempt/intentional self-harm,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T391X2D,"Poisoning by 4-Aminophenol derivatives, intentional self-harm, subsequent encounter",MBD027,Suicide attempt/intentional self-harm; subsequent encounter,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T392X2A,"Poisoning by pyrazolone derivatives, intentional self-harm, initial encounter",MBD012,Suicidal ideation/attempt/intentional self-harm,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T392X2D,"Poisoning by pyrazolone derivatives, intentional self-harm, subsequent encounter",MBD027,Suicide attempt/intentional self-harm; subsequent encounter,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T39312A,"Poisoning by propionic acid derivatives, intentional self-harm, initial encounter",MBD012,Suicidal ideation/attempt/intentional self-harm,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T39312D,"Poisoning by propionic acid derivatives, intentional self-harm, subsequent encounter",MBD027,Suicide attempt/intentional self-harm; subsequent encounter,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T39392A,"Poisoning by other nonsteroidal anti-inflammatory drugs [NSAID], intentional self-harm, initial encounter",MBD012,Suicidal ideation/attempt/intentional self-harm,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T39392D,"Poisoning by other nonsteroidal anti-inflammatory drugs [NSAID], intentional self-harm, subsequent encounter",MBD027,Suicide attempt/intentional self-harm; subsequent encounter,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T394X2A,"Poisoning by antirheumatics, not elsewhere classified, intentional self-harm, initial encounter",MBD012,Suicidal ideation/attempt/intentional self-harm,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T394X2D,"Poisoning by antirheumatics, not elsewhere classified, intentional self-harm, subsequent encounter",MBD027,Suicide attempt/intentional self-harm; subsequent encounter,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T398X2A,"Poisoning by other nonopioid analgesics and antipyretics, not elsewhere classified, intentional self-harm, initial encounter",MBD012,Suicidal ideation/attempt/intentional self-harm,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T398X2D,"Poisoning by other nonopioid analgesics and antipyretics, not elsewhere classified, intentional self-harm, subsequent encounter",MBD027,Suicide attempt/intentional self-harm; subsequent encounter,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T3992XA,"Poisoning by unspecified nonopioid analgesic, antipyretic and antirheumatic, intentional self-harm, initial encounter",MBD012,Suicidal ideation/attempt/intentional self-harm,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T3992XD,"Poisoning by unspecified nonopioid analgesic, antipyretic and antirheumatic, intentional self-harm, subsequent encounter",MBD027,Suicide attempt/intentional self-harm; subsequent encounter,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T400X2A,"Poisoning by opium, intentional self-harm, initial encounter",MBD012,Suicidal ideation/attempt/intentional self-harm,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T400X2D,"Poisoning by opium, intentional self-harm, subsequent encounter",MBD027,Suicide attempt/intentional self-harm; subsequent encounter,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T401X2A,"Poisoning by heroin, intentional self-harm, initial encounter",MBD012,Suicidal ideation/attempt/intentional self-harm,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T401X2D,"Poisoning by heroin, intentional self-harm, subsequent encounter",MBD027,Suicide attempt/intentional self-harm; subsequent encounter,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T402X2A,"Poisoning by other opioids, intentional self-harm, initial encounter",MBD012,Suicidal ideation/attempt/intentional self-harm,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T402X2D,"Poisoning by other opioids, intentional self-harm, subsequent encounter",MBD027,Suicide attempt/intentional self-harm; subsequent encounter,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T403X2A,"Poisoning by methadone, intentional self-harm, initial encounter",MBD012,Suicidal ideation/attempt/intentional self-harm,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T403X2D,"Poisoning by methadone, intentional self-harm, subsequent encounter",MBD027,Suicide attempt/intentional self-harm; subsequent encounter,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T404X2A,"Poisoning by other synthetic narcotics, intentional self-harm, initial encounter",MBD012,Suicidal ideation/attempt/intentional self-harm,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T404X2D,"Poisoning by other synthetic narcotics, intentional self-harm, subsequent encounter",MBD027,Suicide attempt/intentional self-harm; subsequent encounter,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T405X2A,"Poisoning by cocaine, intentional self-harm, initial encounter",MBD012,Suicidal ideation/attempt/intentional self-harm,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T405X2D,"Poisoning by cocaine, intentional self-harm, subsequent encounter",MBD027,Suicide attempt/intentional self-harm; subsequent encounter,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T40602A,"Poisoning by unspecified narcotics, intentional self-harm, initial encounter",MBD012,Suicidal ideation/attempt/intentional self-harm,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T40602D,"Poisoning by unspecified narcotics, intentional self-harm, subsequent encounter",MBD027,Suicide attempt/intentional self-harm; subsequent encounter,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T40692A,"Poisoning by other narcotics, intentional self-harm, initial encounter",MBD012,Suicidal ideation/attempt/intentional self-harm,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T40692D,"Poisoning by other narcotics, intentional self-harm, subsequent encounter",MBD027,Suicide attempt/intentional self-harm; subsequent encounter,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T407X2A,"Poisoning by cannabis (derivatives), intentional self-harm, initial encounter",MBD012,Suicidal ideation/attempt/intentional self-harm,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T407X2D,"Poisoning by cannabis (derivatives), intentional self-harm, subsequent encounter",MBD027,Suicide attempt/intentional self-harm; subsequent encounter,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T408X2A,"Poisoning by lysergide [LSD], intentional self-harm, initial encounter",MBD012,Suicidal ideation/attempt/intentional self-harm,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T408X2D,"Poisoning by lysergide [LSD], intentional self-harm, subsequent encounter",MBD027,Suicide attempt/intentional self-harm; subsequent encounter,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T40902A,"Poisoning by unspecified psychodysleptics [hallucinogens], intentional self-harm, initial encounter",MBD012,Suicidal ideation/attempt/intentional self-harm,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T40902D,"Poisoning by unspecified psychodysleptics [hallucinogens], intentional self-harm, subsequent encounter",MBD027,Suicide attempt/intentional self-harm; subsequent encounter,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T40992A,"Poisoning by other psychodysleptics [hallucinogens], intentional self-harm, initial encounter",MBD012,Suicidal ideation/attempt/intentional self-harm,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T40992D,"Poisoning by other psychodysleptics [hallucinogens], intentional self-harm, subsequent encounter",MBD027,Suicide attempt/intentional self-harm; subsequent encounter,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T410X2A,"Poisoning by inhaled anesthetics, intentional self-harm, initial encounter",MBD012,Suicidal ideation/attempt/intentional self-harm,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T410X2D,"Poisoning by inhaled anesthetics, intentional self-harm, subsequent encounter",MBD027,Suicide attempt/intentional self-harm; subsequent encounter,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T411X2A,"Poisoning by intravenous anesthetics, intentional self-harm, initial encounter",MBD012,Suicidal ideation/attempt/intentional self-harm,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T411X2D,"Poisoning by intravenous anesthetics, intentional self-harm, subsequent encounter",MBD027,Suicide attempt/intentional self-harm; subsequent encounter,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T41202A,"Poisoning by unspecified general anesthetics, intentional self-harm, initial encounter",MBD012,Suicidal ideation/attempt/intentional self-harm,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T41202D,"Poisoning by unspecified general anesthetics, intentional self-harm, subsequent encounter",MBD027,Suicide attempt/intentional self-harm; subsequent encounter,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T41292A,"Poisoning by other general anesthetics, intentional self-harm, initial encounter",MBD012,Suicidal ideation/attempt/intentional self-harm,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T41292D,"Poisoning by other general anesthetics, intentional self-harm, subsequent encounter",MBD027,Suicide attempt/intentional self-harm; subsequent encounter,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T413X2A,"Poisoning by local anesthetics, intentional self-harm, initial encounter",MBD012,Suicidal ideation/attempt/intentional self-harm,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T413X2D,"Poisoning by local anesthetics, intentional self-harm, subsequent encounter",MBD027,Suicide attempt/intentional self-harm; subsequent encounter,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T4142XA,"Poisoning by unspecified anesthetic, intentional self-harm, initial encounter",MBD012,Suicidal ideation/attempt/intentional self-harm,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T4142XD,"Poisoning by unspecified anesthetic, intentional self-harm, subsequent encounter",MBD027,Suicide attempt/intentional self-harm; subsequent encounter,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T415X2A,"Poisoning by therapeutic gases, intentional self-harm, initial encounter",MBD012,Suicidal ideation/attempt/intentional self-harm,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T415X2D,"Poisoning by therapeutic gases, intentional self-harm, subsequent encounter",MBD027,Suicide attempt/intentional self-harm; subsequent encounter,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T420X2A,"Poisoning by hydantoin derivatives, intentional self-harm, initial encounter",MBD012,Suicidal ideation/attempt/intentional self-harm,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T420X2D,"Poisoning by hydantoin derivatives, intentional self-harm, subsequent encounter",MBD027,Suicide attempt/intentional self-harm; subsequent encounter,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T421X2A,"Poisoning by iminostilbenes, intentional self-harm, initial encounter",MBD012,Suicidal ideation/attempt/intentional self-harm,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T421X2D,"Poisoning by iminostilbenes, intentional self-harm, subsequent encounter",MBD027,Suicide attempt/intentional self-harm; subsequent encounter,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T422X2A,"Poisoning by succinimides and oxazolidinediones, intentional self-harm, initial encounter",MBD012,Suicidal ideation/attempt/intentional self-harm,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T422X2D,"Poisoning by succinimides and oxazolidinediones, intentional self-harm, subsequent encounter",MBD027,Suicide attempt/intentional self-harm; subsequent encounter,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T423X2A,"Poisoning by barbiturates, intentional self-harm, initial encounter",MBD012,Suicidal ideation/attempt/intentional self-harm,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T423X2D,"Poisoning by barbiturates, intentional self-harm, subsequent encounter",MBD027,Suicide attempt/intentional self-harm; subsequent encounter,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T424X2A,"Poisoning by benzodiazepines, intentional self-harm, initial encounter",MBD012,Suicidal ideation/attempt/intentional self-harm,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T424X2D,"Poisoning by benzodiazepines, intentional self-harm, subsequent encounter",MBD027,Suicide attempt/intentional self-harm; subsequent encounter,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T425X2A,"Poisoning by mixed antiepileptics, intentional self-harm, initial encounter",MBD012,Suicidal ideation/attempt/intentional self-harm,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T425X2D,"Poisoning by mixed antiepileptics, intentional self-harm, subsequent encounter",MBD027,Suicide attempt/intentional self-harm; subsequent encounter,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T426X2A,"Poisoning by other antiepileptic and sedative-hypnotic drugs, intentional self-harm, initial encounter",MBD012,Suicidal ideation/attempt/intentional self-harm,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
T426X2D,"Poisoning by other antiepileptic and sedative-hypnotic drugs, intentional self-harm, subsequent encounter",MBD027,Suicide attempt/intentional self-harm; subsequent encounter,Y,08 Suicidal ideation/attempt/intentional self-harm,Intentional self-harm
