ICD-10-CM Code,ICD-10-CM Code Description,CCSR Category,CCSR Category Description,Default CCSR (Y/N/X),Rationale,Condition
S08811A,"Complete traumatic amputation of nose, initial encounter",INJ015,"Amputation of other body parts, initial encounter",Y,0 Not Applicable,traumatic amputation
S08811D,"Complete traumatic amputation of nose, subsequent encounter",INJ052,"Amputation of other body parts, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S08812A,"Partial traumatic amputation of nose, initial encounter",INJ015,"Amputation of other body parts, initial encounter",Y,0 Not Applicable,traumatic amputation
S08812D,"Partial traumatic amputation of nose, subsequent encounter",INJ052,"Amputation of other body parts, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S0889XA,"Traumatic amputation of other parts of head, init encntr",INJ015,"Amputation of other body parts, initial encounter",Y,0 Not Applicable,traumatic amputation
S0889XD,"Traumatic amputation of other parts of head, subs encntr",INJ052,"Amputation of other body parts, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S170XXA,"Crushing injury of larynx and trachea, initial encounter",INJ018,"Crushing injury, initial encounter",Y,0 Not Applicable,crushing injury
S170XXD,"Crushing injury of larynx and trachea, subsequent encounter",INJ055,"Crushing injury, subsequent encounter",Y,0 Not Applicable,crushing injury
S178XXA,"Crushing injury of oth parts of neck, init encntr",INJ018,"Crushing injury, initial encounter",Y,0 Not Applicable,crushing injury
S178XXD,"Crushing injury of oth parts of neck, subs encntr",INJ055,"Crushing injury, subsequent encounter",Y,0 Not Applicable,crushing injury
S179XXA,"Crushing injury of neck, part unspecified, initial encounter",INJ018,"Crushing injury, initial encounter",Y,0 Not Applicable,crushing injury
S179XXD,"Crushing injury of neck, part unspecified, subs encntr",INJ055,"Crushing injury, subsequent encounter",Y,0 Not Applicable,crushing injury
S280XXA,"Crushed chest, initial encounter",INJ018,"Crushing injury, initial encounter",Y,0 Not Applicable,crushing injury
S280XXD,"Crushed chest, subsequent encounter",INJ055,"Crushing injury, subsequent encounter",Y,0 Not Applicable,crushing injury
S281XXA,"Traumatic amp of part of thorax, except breast, init",INJ015,"Amputation of other body parts, initial encounter",Y,0 Not Applicable,traumatic amputation
S281XXD,"Traumatic amp of part of thorax, except breast, subs",INJ052,"Amputation of other body parts, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S28211A,"Complete traumatic amputation of right breast, init encntr",INJ015,"Amputation of other body parts, initial encounter",Y,0 Not Applicable,traumatic amputation
S28211D,"Complete traumatic amputation of right breast, subs encntr",INJ052,"Amputation of other body parts, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S28212A,"Complete traumatic amputation of left breast, init encntr",INJ015,"Amputation of other body parts, initial encounter",Y,0 Not Applicable,traumatic amputation
S28212D,"Complete traumatic amputation of left breast, subs encntr",INJ052,"Amputation of other body parts, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S28219A,"Complete traumatic amputation of unsp breast, init encntr",INJ015,"Amputation of other body parts, initial encounter",Y,0 Not Applicable,traumatic amputation
S28219D,"Complete traumatic amputation of unsp breast, subs encntr",INJ052,"Amputation of other body parts, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S28221A,"Partial traumatic amputation of right breast, init encntr",INJ015,"Amputation of other body parts, initial encounter",Y,0 Not Applicable,traumatic amputation
S28221D,"Partial traumatic amputation of right breast, subs encntr",INJ052,"Amputation of other body parts, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S28222A,"Partial traumatic amputation of left breast, init encntr",INJ015,"Amputation of other body parts, initial encounter",Y,0 Not Applicable,traumatic amputation
S28222D,"Partial traumatic amputation of left breast, subs encntr",INJ052,"Amputation of other body parts, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S28229A,"Partial traumatic amputation of unsp breast, init encntr",INJ015,"Amputation of other body parts, initial encounter",Y,0 Not Applicable,traumatic amputation
S28229D,"Partial traumatic amputation of unsp breast, subs encntr",INJ052,"Amputation of other body parts, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S38001A,"Crushing injury of unsp external genital organs, male, init",INJ018,"Crushing injury, initial encounter",Y,0 Not Applicable,crushing injury
S38001D,"Crushing injury of unsp external genital organs, male, subs",INJ055,"Crushing injury, subsequent encounter",Y,0 Not Applicable,crushing injury
S38002A,"Crushing inj unsp external genital organs, female, init",INJ018,"Crushing injury, initial encounter",Y,0 Not Applicable,crushing injury
S38002D,"Crushing inj unsp external genital organs, female, subs",INJ055,"Crushing injury, subsequent encounter",Y,0 Not Applicable,crushing injury
S3801XA,"Crushing injury of penis, initial encounter",INJ018,"Crushing injury, initial encounter",Y,0 Not Applicable,crushing injury
S3801XD,"Crushing injury of penis, subsequent encounter",INJ055,"Crushing injury, subsequent encounter",Y,0 Not Applicable,crushing injury
S3802XA,"Crushing injury of scrotum and testis, initial encounter",INJ018,"Crushing injury, initial encounter",Y,0 Not Applicable,crushing injury
S3802XD,"Crushing injury of scrotum and testis, subsequent encounter",INJ055,"Crushing injury, subsequent encounter",Y,0 Not Applicable,crushing injury
S3803XA,"Crushing injury of vulva, initial encounter",INJ018,"Crushing injury, initial encounter",Y,0 Not Applicable,crushing injury
S3803XD,"Crushing injury of vulva, subsequent encounter",INJ055,"Crushing injury, subsequent encounter",Y,0 Not Applicable,crushing injury
S381XXA,"Crushing injury of abdomen, lower back, and pelvis, init",INJ018,"Crushing injury, initial encounter",Y,0 Not Applicable,crushing injury
S381XXD,"Crushing injury of abdomen, lower back, and pelvis, subs",INJ055,"Crushing injury, subsequent encounter",Y,0 Not Applicable,crushing injury
S38211A,"Complete traum amp of female external genital organs, init",INJ015,"Amputation of other body parts, initial encounter",Y,0 Not Applicable,traumatic amputation
S38211D,"Complete traum amp of female external genital organs, subs",INJ052,"Amputation of other body parts, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S38212A,"Partial traum amp of female external genital organs, init",INJ015,"Amputation of other body parts, initial encounter",Y,0 Not Applicable,traumatic amputation
S38212D,"Partial traum amp of female external genital organs, subs",INJ052,"Amputation of other body parts, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S38221A,"Complete traumatic amputation of penis, initial encounter",INJ015,"Amputation of other body parts, initial encounter",Y,0 Not Applicable,traumatic amputation
S38221D,"Complete traumatic amputation of penis, subsequent encounter",INJ052,"Amputation of other body parts, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S38222A,"Partial traumatic amputation of penis, initial encounter",INJ015,"Amputation of other body parts, initial encounter",Y,0 Not Applicable,traumatic amputation
S38222D,"Partial traumatic amputation of penis, subsequent encounter",INJ052,"Amputation of other body parts, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S38231A,"Complete traumatic amputation of scrotum and testis, init",INJ015,"Amputation of other body parts, initial encounter",Y,0 Not Applicable,traumatic amputation
S38231D,"Complete traumatic amputation of scrotum and testis, subs",INJ052,"Amputation of other body parts, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S38232A,"Partial traumatic amputation of scrotum and testis, init",INJ015,"Amputation of other body parts, initial encounter",Y,0 Not Applicable,traumatic amputation
S38232D,"Partial traumatic amputation of scrotum and testis, subs",INJ052,"Amputation of other body parts, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S383XXA,"Transection (partial) of abdomen, initial encounter",INJ015,"Amputation of other body parts, initial encounter",Y,0 Not Applicable,traumatic amputation
S383XXD,"Transection (partial) of abdomen, subsequent encounter",INJ052,"Amputation of other body parts, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S471XXA,"Crushing injury of right shoulder and upper arm, init encntr",INJ018,"Crushing injury, initial encounter",Y,0 Not Applicable,crushing injury
S471XXD,"Crushing injury of right shoulder and upper arm, subs encntr",INJ055,"Crushing injury, subsequent encounter",Y,0 Not Applicable,crushing injury
S472XXA,"Crushing injury of left shoulder and upper arm, init encntr",INJ018,"Crushing injury, initial encounter",Y,0 Not Applicable,crushing injury
S472XXD,"Crushing injury of left shoulder and upper arm, subs encntr",INJ055,"Crushing injury, subsequent encounter",Y,0 Not Applicable,crushing injury
S479XXA,"Crushing injury of shoulder and upper arm, unsp arm, init",INJ018,"Crushing injury, initial encounter",Y,0 Not Applicable,crushing injury
S479XXD,"Crushing injury of shoulder and upper arm, unsp arm, subs",INJ055,"Crushing injury, subsequent encounter",Y,0 Not Applicable,crushing injury
S48011A,"Complete traumatic amputation at right shoulder joint, init",INJ014,"Amputation of a limb, initial encounter",Y,0 Not Applicable,traumatic amputation
S48011D,"Complete traumatic amputation at right shoulder joint, subs",INJ051,"Amputation of a limb, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S48012A,"Complete traumatic amputation at left shoulder joint, init",INJ014,"Amputation of a limb, initial encounter",Y,0 Not Applicable,traumatic amputation
S48012D,"Complete traumatic amputation at left shoulder joint, subs",INJ051,"Amputation of a limb, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S48019A,"Complete traumatic amputation at unsp shoulder joint, init",INJ014,"Amputation of a limb, initial encounter",Y,0 Not Applicable,traumatic amputation
S48019D,"Complete traumatic amputation at unsp shoulder joint, subs",INJ051,"Amputation of a limb, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S48021A,"Partial traumatic amputation at right shoulder joint, init",INJ014,"Amputation of a limb, initial encounter",Y,0 Not Applicable,traumatic amputation
S48021D,"Partial traumatic amputation at right shoulder joint, subs",INJ051,"Amputation of a limb, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S48022A,"Partial traumatic amputation at left shoulder joint, init",INJ014,"Amputation of a limb, initial encounter",Y,0 Not Applicable,traumatic amputation
S48022D,"Partial traumatic amputation at left shoulder joint, subs",INJ051,"Amputation of a limb, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S48029A,"Partial traumatic amputation at unsp shoulder joint, init",INJ014,"Amputation of a limb, initial encounter",Y,0 Not Applicable,traumatic amputation
S48029D,"Partial traumatic amputation at unsp shoulder joint, subs",INJ051,"Amputation of a limb, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S48111A,"Complete traum amp at level betw r shoulder and elbow, init",INJ014,"Amputation of a limb, initial encounter",Y,0 Not Applicable,traumatic amputation
S48111D,"Complete traum amp at level betw r shoulder and elbow, subs",INJ051,"Amputation of a limb, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S48112A,"Complete traum amp at level betw l shoulder and elbow, init",INJ014,"Amputation of a limb, initial encounter",Y,0 Not Applicable,traumatic amputation
S48112D,"Complete traum amp at level betw l shoulder and elbow, subs",INJ051,"Amputation of a limb, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S48119A,"Complete traum amp at level betw unsp shldr and elbow, init",INJ014,"Amputation of a limb, initial encounter",Y,0 Not Applicable,traumatic amputation
S48119D,"Complete traum amp at level betw unsp shldr and elbow, subs",INJ051,"Amputation of a limb, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S48121A,"Partial traum amp at level betw r shoulder and elbow, init",INJ014,"Amputation of a limb, initial encounter",Y,0 Not Applicable,traumatic amputation
S48121D,"Partial traum amp at level betw r shoulder and elbow, subs",INJ051,"Amputation of a limb, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S48122A,"Partial traum amp at level betw l shoulder and elbow, init",INJ014,"Amputation of a limb, initial encounter",Y,0 Not Applicable,traumatic amputation
S48122D,"Partial traum amp at level betw l shoulder and elbow, subs",INJ051,"Amputation of a limb, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S48129A,"Partial traum amp at level betw unsp shldr and elbow, init",INJ014,"Amputation of a limb, initial encounter",Y,0 Not Applicable,traumatic amputation
S48129D,"Partial traum amp at level betw unsp shldr and elbow, subs",INJ051,"Amputation of a limb, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S48911A,"Complete traum amp of right shldr/up arm, level unsp, init",INJ014,"Amputation of a limb, initial encounter",Y,0 Not Applicable,traumatic amputation
S48911D,"Complete traum amp of right shldr/up arm, level unsp, subs",INJ051,"Amputation of a limb, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S48912A,"Complete traum amp of left shldr/up arm, level unsp, init",INJ014,"Amputation of a limb, initial encounter",Y,0 Not Applicable,traumatic amputation
S48912D,"Complete traum amp of left shldr/up arm, level unsp, subs",INJ051,"Amputation of a limb, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S48919A,"Complete traum amp of unsp shldr/up arm, level unsp, init",INJ014,"Amputation of a limb, initial encounter",Y,0 Not Applicable,traumatic amputation
S48919D,"Complete traum amp of unsp shldr/up arm, level unsp, subs",INJ051,"Amputation of a limb, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S48921A,"Partial traum amp of right shldr/up arm, level unsp, init",INJ014,"Amputation of a limb, initial encounter",Y,0 Not Applicable,traumatic amputation
S48921D,"Partial traum amp of right shldr/up arm, level unsp, subs",INJ051,"Amputation of a limb, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S48922A,"Partial traumatic amp of left shldr/up arm, level unsp, init",INJ014,"Amputation of a limb, initial encounter",Y,0 Not Applicable,traumatic amputation
S48922D,"Partial traumatic amp of left shldr/up arm, level unsp, subs",INJ051,"Amputation of a limb, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S48929A,"Partial traumatic amp of unsp shldr/up arm, level unsp, init",INJ014,"Amputation of a limb, initial encounter",Y,0 Not Applicable,traumatic amputation
S48929D,"Partial traumatic amp of unsp shldr/up arm, level unsp, subs",INJ051,"Amputation of a limb, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S5700XA,"Crushing injury of unspecified elbow, initial encounter",INJ018,"Crushing injury, initial encounter",Y,0 Not Applicable,crushing injury
S5700XD,"Crushing injury of unspecified elbow, subsequent encounter",INJ055,"Crushing injury, subsequent encounter",Y,0 Not Applicable,crushing injury
S5701XA,"Crushing injury of right elbow, initial encounter",INJ018,"Crushing injury, initial encounter",Y,0 Not Applicable,crushing injury
S5701XD,"Crushing injury of right elbow, subsequent encounter",INJ055,"Crushing injury, subsequent encounter",Y,0 Not Applicable,crushing injury
S5702XA,"Crushing injury of left elbow, initial encounter",INJ018,"Crushing injury, initial encounter",Y,0 Not Applicable,crushing injury
S5702XD,"Crushing injury of left elbow, subsequent encounter",INJ055,"Crushing injury, subsequent encounter",Y,0 Not Applicable,crushing injury
S5780XA,"Crushing injury of unspecified forearm, initial encounter",INJ018,"Crushing injury, initial encounter",Y,0 Not Applicable,crushing injury
S5780XD,"Crushing injury of unspecified forearm, subsequent encounter",INJ055,"Crushing injury, subsequent encounter",Y,0 Not Applicable,crushing injury
S5781XA,"Crushing injury of right forearm, initial encounter",INJ018,"Crushing injury, initial encounter",Y,0 Not Applicable,crushing injury
S5781XD,"Crushing injury of right forearm, subsequent encounter",INJ055,"Crushing injury, subsequent encounter",Y,0 Not Applicable,crushing injury
S5782XA,"Crushing injury of left forearm, initial encounter",INJ018,"Crushing injury, initial encounter",Y,0 Not Applicable,crushing injury
S5782XD,"Crushing injury of left forearm, subsequent encounter",INJ055,"Crushing injury, subsequent encounter",Y,0 Not Applicable,crushing injury
S58011A,"Complete traumatic amp at elbow level, right arm, init",INJ014,"Amputation of a limb, initial encounter",Y,0 Not Applicable,traumatic amputation
S58011D,"Complete traumatic amp at elbow level, right arm, subs",INJ051,"Amputation of a limb, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S58012A,"Complete traumatic amputation at elbow level, left arm, init",INJ014,"Amputation of a limb, initial encounter",Y,0 Not Applicable,traumatic amputation
S58012D,"Complete traumatic amputation at elbow level, left arm, subs",INJ051,"Amputation of a limb, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S58019A,"Complete traumatic amputation at elbow level, unsp arm, init",INJ014,"Amputation of a limb, initial encounter",Y,0 Not Applicable,traumatic amputation
S58019D,"Complete traumatic amputation at elbow level, unsp arm, subs",INJ051,"Amputation of a limb, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S58021A,"Partial traumatic amputation at elbow level, right arm, init",INJ014,"Amputation of a limb, initial encounter",Y,0 Not Applicable,traumatic amputation
S58021D,"Partial traumatic amputation at elbow level, right arm, subs",INJ051,"Amputation of a limb, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S58022A,"Partial traumatic amputation at elbow level, left arm, init",INJ014,"Amputation of a limb, initial encounter",Y,0 Not Applicable,traumatic amputation
S58022D,"Partial traumatic amputation at elbow level, left arm, subs",INJ051,"Amputation of a limb, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S58029A,"Partial traumatic amputation at elbow level, unsp arm, init",INJ014,"Amputation of a limb, initial encounter",Y,0 Not Applicable,traumatic amputation
S58029D,"Partial traumatic amputation at elbow level, unsp arm, subs",INJ051,"Amputation of a limb, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S58111A,"Complete traum amp at lev betw elbow and wrist, r arm, init",INJ014,"Amputation of a limb, initial encounter",Y,0 Not Applicable,traumatic amputation
S58111D,"Complete traum amp at lev betw elbow and wrist, r arm, subs",INJ051,"Amputation of a limb, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S58112A,"Complete traum amp at lev betw elbow and wrs, left arm, init",INJ014,"Amputation of a limb, initial encounter",Y,0 Not Applicable,traumatic amputation
S58112D,"Complete traum amp at lev betw elbow and wrs, left arm, subs",INJ051,"Amputation of a limb, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S58119A,"Complete traum amp at lev betw elbow and wrs, unsp arm, init",INJ014,"Amputation of a limb, initial encounter",Y,0 Not Applicable,traumatic amputation
S58119D,"Complete traum amp at lev betw elbow and wrs, unsp arm, subs",INJ051,"Amputation of a limb, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S58121A,"Part traum amp at lev betw elbow and wrist, right arm, init",INJ014,"Amputation of a limb, initial encounter",Y,0 Not Applicable,traumatic amputation
S58121D,"Part traum amp at lev betw elbow and wrist, right arm, subs",INJ051,"Amputation of a limb, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S58122A,"Part traum amp at level betw elbow and wrist, left arm, init",INJ014,"Amputation of a limb, initial encounter",Y,0 Not Applicable,traumatic amputation
S58122D,"Part traum amp at level betw elbow and wrist, left arm, subs",INJ051,"Amputation of a limb, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S58129A,"Part traum amp at level betw elbow and wrist, unsp arm, init",INJ014,"Amputation of a limb, initial encounter",Y,0 Not Applicable,traumatic amputation
S58129D,"Part traum amp at level betw elbow and wrist, unsp arm, subs",INJ051,"Amputation of a limb, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S58911A,"Complete traumatic amputation of r forearm, level unsp, init",INJ014,"Amputation of a limb, initial encounter",Y,0 Not Applicable,traumatic amputation
S58911D,"Complete traumatic amputation of r forearm, level unsp, subs",INJ051,"Amputation of a limb, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S58912A,"Complete traumatic amputation of l forearm, level unsp, init",INJ014,"Amputation of a limb, initial encounter",Y,0 Not Applicable,traumatic amputation
S58912D,"Complete traumatic amputation of l forearm, level unsp, subs",INJ051,"Amputation of a limb, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S58919A,"Complete traumatic amp of unsp forearm, level unsp, init",INJ014,"Amputation of a limb, initial encounter",Y,0 Not Applicable,traumatic amputation
S58919D,"Complete traumatic amp of unsp forearm, level unsp, subs",INJ051,"Amputation of a limb, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S58921A,"Partial traumatic amputation of r forearm, level unsp, init",INJ014,"Amputation of a limb, initial encounter",Y,0 Not Applicable,traumatic amputation
S58921D,"Partial traumatic amputation of r forearm, level unsp, subs",INJ051,"Amputation of a limb, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S58922A,"Partial traumatic amputation of l forearm, level unsp, init",INJ014,"Amputation of a limb, initial encounter",Y,0 Not Applicable,traumatic amputation
S58922D,"Partial traumatic amputation of l forearm, level unsp, subs",INJ051,"Amputation of a limb, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S58929A,"Partial traumatic amp of unsp forearm, level unsp, init",INJ014,"Amputation of a limb, initial encounter",Y,0 Not Applicable,traumatic amputation
S58929D,"Partial traumatic amp of unsp forearm, level unsp, subs",INJ051,"Amputation of a limb, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S6700XA,"Crushing injury of unspecified thumb, initial encounter",INJ018,"Crushing injury, initial encounter",Y,0 Not Applicable,crushing injury
S6700XD,"Crushing injury of unspecified thumb, subsequent encounter",INJ055,"Crushing injury, subsequent encounter",Y,0 Not Applicable,crushing injury
S6701XA,"Crushing injury of right thumb, initial encounter",INJ018,"Crushing injury, initial encounter",Y,0 Not Applicable,crushing injury
S6701XD,"Crushing injury of right thumb, subsequent encounter",INJ055,"Crushing injury, subsequent encounter",Y,0 Not Applicable,crushing injury
S6702XA,"Crushing injury of left thumb, initial encounter",INJ018,"Crushing injury, initial encounter",Y,0 Not Applicable,crushing injury
S6702XD,"Crushing injury of left thumb, subsequent encounter",INJ055,"Crushing injury, subsequent encounter",Y,0 Not Applicable,crushing injury
S6710XA,"Crushing injury of unspecified finger(s), initial encounter",INJ018,"Crushing injury, initial encounter",Y,0 Not Applicable,crushing injury
S6710XD,"Crushing injury of unspecified finger(s), subs encntr",INJ055,"Crushing injury, subsequent encounter",Y,0 Not Applicable,crushing injury
S67190A,"Crushing injury of right index finger, initial encounter",INJ018,"Crushing injury, initial encounter",Y,0 Not Applicable,crushing injury
S67190D,"Crushing injury of right index finger, subsequent encounter",INJ055,"Crushing injury, subsequent encounter",Y,0 Not Applicable,crushing injury
S67191A,"Crushing injury of left index finger, initial encounter",INJ018,"Crushing injury, initial encounter",Y,0 Not Applicable,crushing injury
S67191D,"Crushing injury of left index finger, subsequent encounter",INJ055,"Crushing injury, subsequent encounter",Y,0 Not Applicable,crushing injury
S67192A,"Crushing injury of right middle finger, initial encounter",INJ018,"Crushing injury, initial encounter",Y,0 Not Applicable,crushing injury
S67192D,"Crushing injury of right middle finger, subsequent encounter",INJ055,"Crushing injury, subsequent encounter",Y,0 Not Applicable,crushing injury
S67193A,"Crushing injury of left middle finger, initial encounter",INJ018,"Crushing injury, initial encounter",Y,0 Not Applicable,crushing injury
S67193D,"Crushing injury of left middle finger, subsequent encounter",INJ055,"Crushing injury, subsequent encounter",Y,0 Not Applicable,crushing injury
S67194A,"Crushing injury of right ring finger, initial encounter",INJ018,"Crushing injury, initial encounter",Y,0 Not Applicable,crushing injury
S67194D,"Crushing injury of right ring finger, subsequent encounter",INJ055,"Crushing injury, subsequent encounter",Y,0 Not Applicable,crushing injury
S67195A,"Crushing injury of left ring finger, initial encounter",INJ018,"Crushing injury, initial encounter",Y,0 Not Applicable,crushing injury
S67195D,"Crushing injury of left ring finger, subsequent encounter",INJ055,"Crushing injury, subsequent encounter",Y,0 Not Applicable,crushing injury
S67196A,"Crushing injury of right little finger, initial encounter",INJ018,"Crushing injury, initial encounter",Y,0 Not Applicable,crushing injury
S67196D,"Crushing injury of right little finger, subsequent encounter",INJ055,"Crushing injury, subsequent encounter",Y,0 Not Applicable,crushing injury
S67197A,"Crushing injury of left little finger, initial encounter",INJ018,"Crushing injury, initial encounter",Y,0 Not Applicable,crushing injury
S67197D,"Crushing injury of left little finger, subsequent encounter",INJ055,"Crushing injury, subsequent encounter",Y,0 Not Applicable,crushing injury
S67198A,"Crushing injury of other finger, initial encounter",INJ018,"Crushing injury, initial encounter",Y,0 Not Applicable,crushing injury
S67198D,"Crushing injury of other finger, subsequent encounter",INJ055,"Crushing injury, subsequent encounter",Y,0 Not Applicable,crushing injury
S6720XA,"Crushing injury of unspecified hand, initial encounter",INJ018,"Crushing injury, initial encounter",Y,0 Not Applicable,crushing injury
S6720XD,"Crushing injury of unspecified hand, subsequent encounter",INJ055,"Crushing injury, subsequent encounter",Y,0 Not Applicable,crushing injury
S6721XA,"Crushing injury of right hand, initial encounter",INJ018,"Crushing injury, initial encounter",Y,0 Not Applicable,crushing injury
S6721XD,"Crushing injury of right hand, subsequent encounter",INJ055,"Crushing injury, subsequent encounter",Y,0 Not Applicable,crushing injury
S6722XA,"Crushing injury of left hand, initial encounter",INJ018,"Crushing injury, initial encounter",Y,0 Not Applicable,crushing injury
S6722XD,"Crushing injury of left hand, subsequent encounter",INJ055,"Crushing injury, subsequent encounter",Y,0 Not Applicable,crushing injury
S6730XA,"Crushing injury of unspecified wrist, initial encounter",INJ018,"Crushing injury, initial encounter",Y,0 Not Applicable,crushing injury
S6730XD,"Crushing injury of unspecified wrist, subsequent encounter",INJ055,"Crushing injury, subsequent encounter",Y,0 Not Applicable,crushing injury
S6731XA,"Crushing injury of right wrist, initial encounter",INJ018,"Crushing injury, initial encounter",Y,0 Not Applicable,crushing injury
S6731XD,"Crushing injury of right wrist, subsequent encounter",INJ055,"Crushing injury, subsequent encounter",Y,0 Not Applicable,crushing injury
S6732XA,"Crushing injury of left wrist, initial encounter",INJ018,"Crushing injury, initial encounter",Y,0 Not Applicable,crushing injury
S6732XD,"Crushing injury of left wrist, subsequent encounter",INJ055,"Crushing injury, subsequent encounter",Y,0 Not Applicable,crushing injury
