ICD-10-CM Code,ICD-10-CM Code Description,CCSR Category,CCSR Category Description,Default CCSR (Y/N/X),Rationale,Condition,Unnamed: 7
I238,Oth current complications following AMI,CIR010,Complications of acute myocardial infarction,Y,0 Not Applicable,Acute myocardial infarction,NULL
I241,Dresslers syndrome,CIR010,Complications of acute myocardial infarction,Y,0 Not Applicable,Acute myocardial infarction,NULL
I330,Acute and subacute infective endocarditis,CIR004,Endocarditis and endocardial disease,Y,0 Not Applicable," infective endocarditis",NULL
I339,"Acute and subacute endocarditis, unspecified",CIR004,Endocarditis and endocardial disease,Y,0 Not Applicable," infective endocarditis",NULL
I6000,Ntrm subarach hemorrhage from unsp carotid siphon and bifurc,CIR021,Acute hemorrhagic cerebrovascular disease,Y,0 Not Applicable,Cerebral infarction,NULL
I6001,Ntrm subarach hemor from right carotid siphon and bifurc,CIR021,Acute hemorrhagic cerebrovascular disease,Y,0 Not Applicable,Cerebral infarction,NULL
I6002,Ntrm subarach hemorrhage from left carotid siphon and bifurc,CIR021,Acute hemorrhagic cerebrovascular disease,Y,0 Not Applicable,Cerebral infarction,NULL
I6010,Ntrm subarach hemorrhage from unsp middle cerebral artery,CIR021,Acute hemorrhagic cerebrovascular disease,Y,0 Not Applicable,Cerebral infarction,NULL
I6011,Ntrm subarach hemorrhage from right middle cerebral artery,CIR021,Acute hemorrhagic cerebrovascular disease,Y,0 Not Applicable,Cerebral infarction,NULL
I6012,Ntrm subarach hemorrhage from left middle cerebral artery,CIR021,Acute hemorrhagic cerebrovascular disease,Y,0 Not Applicable,Cerebral infarction,NULL
I602,Ntrm subarach hemorrhage from anterior communicating artery,CIR021,Acute hemorrhagic cerebrovascular disease,Y,0 Not Applicable,Cerebral infarction,NULL
I6020,Nontraumatic subarachnoid hemorrhage from unspecified anteri,CIR021,Acute hemorrhagic cerebrovascular disease,Y,0 Not Applicable,Cerebral infarction,NULL
I6021,Nontraumatic subarachnoid hemorrhage from right anterior com,CIR021,Acute hemorrhagic cerebrovascular disease,Y,0 Not Applicable,Cerebral infarction,NULL
I6022,Nontraumatic subarachnoid hemorrhage from left anterior comm,CIR021,Acute hemorrhagic cerebrovascular disease,Y,0 Not Applicable,Cerebral infarction,NULL
I6030,Ntrm subarach hemor from unsp posterior communicating artery,CIR021,Acute hemorrhagic cerebrovascular disease,Y,0 Not Applicable,Cerebral infarction,NULL
I6031,Ntrm subarach hemor from right post communicating artery,CIR021,Acute hemorrhagic cerebrovascular disease,Y,0 Not Applicable,Cerebral infarction,NULL
I6032,Ntrm subarach hemor from left posterior communicating artery,CIR021,Acute hemorrhagic cerebrovascular disease,Y,0 Not Applicable,Cerebral infarction,NULL
I604,Nontraumatic subarachnoid hemorrhage from basilar artery,CIR021,Acute hemorrhagic cerebrovascular disease,Y,0 Not Applicable,Cerebral infarction,NULL
I6050,Nontraumatic subarachnoid hemorrhage from unsp verteb art,CIR021,Acute hemorrhagic cerebrovascular disease,Y,0 Not Applicable,Cerebral infarction,NULL
I6051,Nontraumatic subarachnoid hemorrhage from r verteb art,CIR021,Acute hemorrhagic cerebrovascular disease,Y,0 Not Applicable,Cerebral infarction,NULL
I6052,Nontraumatic subarachnoid hemorrhage from l verteb art,CIR021,Acute hemorrhagic cerebrovascular disease,Y,0 Not Applicable,Cerebral infarction,NULL
I606,Nontraumatic subarachnoid hemorrhage from oth intracran art,CIR021,Acute hemorrhagic cerebrovascular disease,Y,0 Not Applicable,Cerebral infarction,NULL
I607,Nontraumatic subarachnoid hemorrhage from unsp intracran art,CIR021,Acute hemorrhagic cerebrovascular disease,Y,0 Not Applicable,Cerebral infarction,NULL
I608,Other nontraumatic subarachnoid hemorrhage,CIR021,Acute hemorrhagic cerebrovascular disease,Y,0 Not Applicable,Cerebral infarction,NULL
I609,"Nontraumatic subarachnoid hemorrhage, unspecified",CIR021,Acute hemorrhagic cerebrovascular disease,Y,0 Not Applicable,Cerebral infarction,NULL
I610,"Nontraumatic intcrbl hemorrhage in hemisphere, subcortical",CIR021,Acute hemorrhagic cerebrovascular disease,Y,0 Not Applicable,Cerebral infarction,NULL
I611,"Nontraumatic intcrbl hemorrhage in hemisphere, cortical",CIR021,Acute hemorrhagic cerebrovascular disease,Y,0 Not Applicable,Cerebral infarction,NULL
I612,"Nontraumatic intracerebral hemorrhage in hemisphere, unsp",CIR021,Acute hemorrhagic cerebrovascular disease,Y,0 Not Applicable,Cerebral infarction,NULL
I613,Nontraumatic intracerebral hemorrhage in brain stem,CIR021,Acute hemorrhagic cerebrovascular disease,Y,0 Not Applicable,Cerebral infarction,NULL
I614,Nontraumatic intracerebral hemorrhage in cerebellum,CIR021,Acute hemorrhagic cerebrovascular disease,Y,0 Not Applicable,Cerebral infarction,NULL
I615,"Nontraumatic intracerebral hemorrhage, intraventricular",CIR021,Acute hemorrhagic cerebrovascular disease,Y,0 Not Applicable,Cerebral infarction,NULL
I616,"Nontraumatic intracerebral hemorrhage, multiple localized",CIR021,Acute hemorrhagic cerebrovascular disease,Y,0 Not Applicable,Cerebral infarction,NULL
I618,Other nontraumatic intracerebral hemorrhage,CIR021,Acute hemorrhagic cerebrovascular disease,Y,0 Not Applicable,Cerebral infarction,NULL
I619,"Nontraumatic intracerebral hemorrhage, unspecified",CIR021,Acute hemorrhagic cerebrovascular disease,Y,0 Not Applicable,Cerebral infarction,NULL
I6200,"Nontraumatic subdural hemorrhage, unspecified",CIR021,Acute hemorrhagic cerebrovascular disease,Y,0 Not Applicable,Cerebral infarction,NULL
I6201,Nontraumatic acute subdural hemorrhage,CIR021,Acute hemorrhagic cerebrovascular disease,Y,0 Not Applicable,Cerebral infarction,NULL
I6202,Nontraumatic subacute subdural hemorrhage,CIR021,Acute hemorrhagic cerebrovascular disease,Y,0 Not Applicable,Cerebral infarction,NULL
I6203,Nontraumatic chronic subdural hemorrhage,CIR021,Acute hemorrhagic cerebrovascular disease,Y,0 Not Applicable,Cerebral infarction,NULL
I621,Nontraumatic extradural hemorrhage,CIR021,Acute hemorrhagic cerebrovascular disease,Y,0 Not Applicable,Cerebral infarction,NULL
I629,"Nontraumatic intracranial hemorrhage, unspecified",CIR021,Acute hemorrhagic cerebrovascular disease,Y,0 Not Applicable,Cerebral infarction,NULL
I2601,Septic pulmonary embolism with acute cor pulmonale,CIR013,Acute pulmonary embolism,Y,0 Not Applicable,embolism,NULL
I2602,Saddle embolus of pulmonary artery with acute cor pulmonale,CIR013,Acute pulmonary embolism,Y,0 Not Applicable,embolism,NULL
I2609,Other pulmonary embolism with acute cor pulmonale,CIR013,Acute pulmonary embolism,Y,0 Not Applicable,embolism,NULL
I2690,Septic pulmonary embolism without acute cor pulmonale,CIR013,Acute pulmonary embolism,Y,0 Not Applicable,embolism,NULL
I2692,Saddle embolus of pulmonary artery w/o acute cor pulmonale,CIR013,Acute pulmonary embolism,Y,0 Not Applicable,embolism,NULL
I2693,Single subsegmental pulmonary embolism without acute cor pulmonale,CIR013,Acute pulmonary embolism,Y,0 Not Applicable,embolism,NULL
I2694,Multiple subsegmental pulmonary emboli without acute cor pulmonale,CIR013,Acute pulmonary embolism,Y,0 Not Applicable,embolism,NULL
I2699,Other pulmonary embolism without acute cor pulmonale,CIR013,Acute pulmonary embolism,Y,0 Not Applicable,embolism,NULL
I7401,Saddle embolus of abdominal aorta,CIR030,Aortic and peripheral arterial embolism or thrombosis,Y,0 Not Applicable,embolism,NULL
I7409,Other arterial embolism and thrombosis of abdominal aorta,CIR030,Aortic and peripheral arterial embolism or thrombosis,Y,0 Not Applicable,embolism,NULL
I7410,Embolism and thrombosis of unspecified parts of aorta,CIR030,Aortic and peripheral arterial embolism or thrombosis,Y,0 Not Applicable,embolism,NULL
I7411,Embolism and thrombosis of thoracic aorta,CIR030,Aortic and peripheral arterial embolism or thrombosis,Y,0 Not Applicable,embolism,NULL
I7419,Embolism and thrombosis of other parts of aorta,CIR030,Aortic and peripheral arterial embolism or thrombosis,Y,0 Not Applicable,embolism,NULL
I742,Embolism and thrombosis of arteries of the upper extremities,CIR030,Aortic and peripheral arterial embolism or thrombosis,Y,0 Not Applicable,embolism,NULL
I743,Embolism and thrombosis of arteries of the lower extremities,CIR030,Aortic and peripheral arterial embolism or thrombosis,Y,0 Not Applicable,embolism,NULL
I744,"Embolism and thrombosis of arteries of extremities, unsp",CIR030,Aortic and peripheral arterial embolism or thrombosis,Y,0 Not Applicable,embolism,NULL
I745,Embolism and thrombosis of iliac artery,CIR030,Aortic and peripheral arterial embolism or thrombosis,Y,0 Not Applicable,embolism,NULL
I748,Embolism and thrombosis of other arteries,CIR030,Aortic and peripheral arterial embolism or thrombosis,Y,0 Not Applicable,embolism,NULL
I749,Embolism and thrombosis of unspecified artery,CIR030,Aortic and peripheral arterial embolism or thrombosis,Y,0 Not Applicable,embolism,NULL
I75011,Atheroembolism of right upper extremity,CIR030,Aortic and peripheral arterial embolism or thrombosis,Y,0 Not Applicable,embolism,NULL
I75012,Atheroembolism of left upper extremity,CIR030,Aortic and peripheral arterial embolism or thrombosis,Y,0 Not Applicable,embolism,NULL
I75013,Atheroembolism of bilateral upper extremities,CIR030,Aortic and peripheral arterial embolism or thrombosis,Y,0 Not Applicable,embolism,NULL
I75019,Atheroembolism of unspecified upper extremity,CIR030,Aortic and peripheral arterial embolism or thrombosis,Y,0 Not Applicable,embolism,NULL
I75021,Atheroembolism of right lower extremity,CIR030,Aortic and peripheral arterial embolism or thrombosis,Y,0 Not Applicable,embolism,NULL
I75022,Atheroembolism of left lower extremity,CIR030,Aortic and peripheral arterial embolism or thrombosis,Y,0 Not Applicable,embolism,NULL
I75023,Atheroembolism of bilateral lower extremities,CIR030,Aortic and peripheral arterial embolism or thrombosis,Y,0 Not Applicable,embolism,NULL
I75029,Atheroembolism of unspecified lower extremity,CIR030,Aortic and peripheral arterial embolism or thrombosis,Y,0 Not Applicable,embolism,NULL
I7581,Atheroembolism of kidney,CIR030,Aortic and peripheral arterial embolism or thrombosis,Y,0 Not Applicable,embolism,NULL
I7589,Atheroembolism of other site,CIR030,Aortic and peripheral arterial embolism or thrombosis,Y,0 Not Applicable,embolism,NULL
I76,Septic arterial embolism,CIR030,Aortic and peripheral arterial embolism or thrombosis,N,12 Exception to match the CCSR body system to the ICD-10-CM codebook chapter,embolism,NULL
I711,"Thoracic aortic aneurysm, ruptured",CIR029,Aortic; peripheral; and visceral artery aneurysms,Y,0 Not Applicable,Arterial dissections,NULL
I713,"Abdominal aortic aneurysm, ruptured",CIR029,Aortic; peripheral; and visceral artery aneurysms,Y,0 Not Applicable,Arterial dissections,NULL
I715,"Thoracoabdominal aortic aneurysm, ruptured",CIR029,Aortic; peripheral; and visceral artery aneurysms,Y,0 Not Applicable,Arterial dissections,NULL
I718,"Aortic aneurysm of unspecified site, ruptured",CIR029,Aortic; peripheral; and visceral artery aneurysms,Y,0 Not Applicable,Arterial dissections,NULL
I2542,Coronary artery dissection,CIR027,Arterial dissections,Y,0 Not Applicable,Arterial dissections,NULL
I670,"Dissection of cerebral arteries, nonruptured",CIR027,Arterial dissections,Y,0 Not Applicable,Arterial dissections,NULL
I7100,Dissection of unspecified site of aorta,CIR027,Arterial dissections,Y,0 Not Applicable,Arterial dissections,NULL
I7101,Dissection of thoracic aorta,CIR027,Arterial dissections,Y,0 Not Applicable,Arterial dissections,NULL
I7102,Dissection of abdominal aorta,CIR027,Arterial dissections,Y,0 Not Applicable,Arterial dissections,NULL
I7103,Dissection of thoracoabdominal aorta,CIR027,Arterial dissections,Y,0 Not Applicable,Arterial dissections,NULL
I7770,Dissection of unspecified artery,CIR027,Arterial dissections,Y,0 Not Applicable,Arterial dissections,NULL
I7771,Dissection of carotid artery,CIR027,Arterial dissections,Y,0 Not Applicable,Arterial dissections,NULL
I7772,Dissection of iliac artery,CIR027,Arterial dissections,Y,0 Not Applicable,Arterial dissections,NULL
I7773,Dissection of renal artery,CIR027,Arterial dissections,Y,0 Not Applicable,Arterial dissections,NULL
I7774,Dissection of vertebral artery,CIR027,Arterial dissections,Y,0 Not Applicable,Arterial dissections,NULL
I7775,Dissection of other precerebral arteries,CIR027,Arterial dissections,Y,0 Not Applicable,Arterial dissections,NULL
I7776,Dissection of artery of upper extremity,CIR027,Arterial dissections,Y,0 Not Applicable,Arterial dissections,NULL
I7777,Dissection of artery of lower extremity,CIR027,Arterial dissections,Y,0 Not Applicable,Arterial dissections,NULL
I7779,Dissection of other specified artery,CIR027,Arterial dissections,Y,0 Not Applicable,Arterial dissections,NULL
I462,Cardiac arrest due to underlying cardiac condition,CIR018,Cardiac arrest and ventricular fibrillation,Y,0 Not Applicable,"cardiac arrest ",NULL
I468,Cardiac arrest due to other underlying condition,CIR018,Cardiac arrest and ventricular fibrillation,Y,0 Not Applicable,"cardiac arrest ",NULL
I469,"Cardiac arrest, cause unspecified",CIR018,Cardiac arrest and ventricular fibrillation,Y,0 Not Applicable,"cardiac arrest ",NULL
I4901,Ventricular fibrillation,CIR018,Cardiac arrest and ventricular fibrillation,Y,0 Not Applicable,Cardiac dysrhythmias,NULL
I4902,Ventricular flutter,CIR018,Cardiac arrest and ventricular fibrillation,Y,0 Not Applicable,Cardiac dysrhythmias,NULL
I97120,Postprocedural cardiac arrest following cardiac surgery,CIR018,Cardiac arrest and ventricular fibrillation,N,01 Postprocedural or postoperative complications,"cardiac arrest ",NULL
I97121,Postprocedural cardiac arrest following other surgery,CIR018,Cardiac arrest and ventricular fibrillation,N,01 Postprocedural or postoperative complications,"cardiac arrest ",NULL
I97710,Intraoperative cardiac arrest during cardiac surgery,CIR018,Cardiac arrest and ventricular fibrillation,N,01 Postprocedural or postoperative complications,"cardiac arrest ",NULL
I97711,Intraoperative cardiac arrest during other surgery,CIR018,Cardiac arrest and ventricular fibrillation,N,01 Postprocedural or postoperative complications,"cardiac arrest ",NULL
O0336,Cardiac arrest following incomplete spontaneous abortion,CIR018,Cardiac arrest and ventricular fibrillation,N,"03 Pregnancy, perinatal, and congenital malformation","cardiac arrest ",NULL
O0386,Cardiac arrest following complete or unspecified spontaneous abortion,CIR018,Cardiac arrest and ventricular fibrillation,N,"03 Pregnancy, perinatal, and congenital malformation","cardiac arrest ",NULL
O0486,Cardiac arrest following (induced) termination of pregnancy,CIR018,Cardiac arrest and ventricular fibrillation,N,"03 Pregnancy, perinatal, and congenital malformation","cardiac arrest ",NULL
O0736,Cardiac arrest following failed attempted termination of pregnancy,CIR018,Cardiac arrest and ventricular fibrillation,N,"03 Pregnancy, perinatal, and congenital malformation","cardiac arrest ",NULL
O0881,Cardiac arrest following an ectopic and molar pregnancy,CIR018,Cardiac arrest and ventricular fibrillation,N,"03 Pregnancy, perinatal, and congenital malformation","cardiac arrest ",NULL
O29111,"Cardiac arrest due to anesthesia during pregnancy, first trimester",CIR018,Cardiac arrest and ventricular fibrillation,N,"03 Pregnancy, perinatal, and congenital malformation","cardiac arrest ",NULL
O29112,"Cardiac arrest due to anesthesia during pregnancy, second trimester",CIR018,Cardiac arrest and ventricular fibrillation,N,"03 Pregnancy, perinatal, and congenital malformation","cardiac arrest ",NULL
O29113,"Cardiac arrest due to anesthesia during pregnancy, third trimester",CIR018,Cardiac arrest and ventricular fibrillation,N,"03 Pregnancy, perinatal, and congenital malformation","cardiac arrest ",NULL
O29119,"Cardiac arrest due to anesthesia during pregnancy, unspecified trimester",CIR018,Cardiac arrest and ventricular fibrillation,N,"03 Pregnancy, perinatal, and congenital malformation","cardiac arrest ",NULL
I470,Re-entry ventricular arrhythmia,CIR017,Cardiac dysrhythmias,Y,0 Not Applicable,Cardiac dysrhythmias,NULL
I471,Supraventricular tachycardia,CIR017,Cardiac dysrhythmias,Y,0 Not Applicable,Cardiac dysrhythmias,NULL
I472,Ventricular tachycardia,CIR017,Cardiac dysrhythmias,Y,0 Not Applicable,Cardiac dysrhythmias,NULL
I480,Paroxysmal atrial fibrillation,CIR017,Cardiac dysrhythmias,Y,0 Not Applicable,Cardiac dysrhythmias,NULL
I481,Persistent atrial fibrillation,CIR017,Cardiac dysrhythmias,Y,0 Not Applicable,Cardiac dysrhythmias,NULL
I483,Typical atrial flutter,CIR017,Cardiac dysrhythmias,Y,0 Not Applicable,Cardiac dysrhythmias,NULL
I484,Atypical atrial flutter,CIR017,Cardiac dysrhythmias,Y,0 Not Applicable,Cardiac dysrhythmias,NULL
I4891,Unspecified atrial fibrillation,CIR017,Cardiac dysrhythmias,Y,0 Not Applicable,Cardiac dysrhythmias,NULL
I4892,Unspecified atrial flutter,CIR017,Cardiac dysrhythmias,Y,0 Not Applicable,Cardiac dysrhythmias,NULL
I491,Atrial premature depolarization,CIR017,Cardiac dysrhythmias,Y,0 Not Applicable,Cardiac dysrhythmias,NULL
I492,Junctional premature depolarization,CIR017,Cardiac dysrhythmias,Y,0 Not Applicable,Cardiac dysrhythmias,NULL
I493,Ventricular premature depolarization,CIR017,Cardiac dysrhythmias,Y,0 Not Applicable,Cardiac dysrhythmias,NULL
I4940,Unspecified premature depolarization,CIR017,Cardiac dysrhythmias,Y,0 Not Applicable,Cardiac dysrhythmias,NULL
G43601,"Persistent migraine aura with cerebral infarction, not intractable, with status migrainosus",CIR020,Cerebral infarction,Y,05 Exception to condition AA with condition BB,Cerebral infarction,NULL
G43609,"Persistent migraine aura with cerebral infarction, not intractable, without status migrainosus",CIR020,Cerebral infarction,Y,05 Exception to condition AA with condition BB,Cerebral infarction,NULL
G43611,"Persistent migraine aura with cerebral infarction, intractable, with status migrainosus",CIR020,Cerebral infarction,Y,05 Exception to condition AA with condition BB,Cerebral infarction,NULL
G43619,"Persistent migraine aura with cerebral infarction, intractable, without status migrainosus",CIR020,Cerebral infarction,Y,05 Exception to condition AA with condition BB,Cerebral infarction,NULL
I6300,Cerebral infarction due to thombos unsp precerebral artery,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I63011,Cerebral infarction due to thrombosis of r verteb art,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I63012,Cerebral infarction due to thrombosis of l verteb art,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I63013,Cerebral infrc due to thrombosis of bilateral verteb art,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I63019,Cerebral infarction due to thombos unsp vertebral artery,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I6302,Cerebral infarction due to thrombosis of basilar artery,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I63031,Cerebral infrc due to thrombosis of right carotid artery,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I63032,Cerebral infarction due to thrombosis of left carotid artery,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I63033,Cerebral infrc due to thombos of bilateral carotid arteries,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I63039,Cerebral infarction due to thrombosis of unsp carotid artery,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I6309,Cerebral infarction due to thrombosis of precerebral artery,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I6310,Cerebral infarction due to embolism of unsp precerb artery,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I63111,Cerebral infarction due to embolism of r verteb art,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I63112,Cerebral infarction due to embolism of left vertebral artery,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I63113,Cerebral infarction due to embolism of bilateral verteb art,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I63119,Cerebral infarction due to embolism of unsp vertebral artery,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I6312,Cerebral infarction due to embolism of basilar artery,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I63131,Cerebral infarction due to embolism of right carotid artery,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I63132,Cerebral infarction due to embolism of left carotid artery,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I63133,Cerebral infrc due to embolism of bilateral carotid arteries,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I63139,Cerebral infarction due to embolism of unsp carotid artery,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I6319,Cerebral infarction due to embolism of precerebral artery,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I6320,Cereb infrc due to unsp occls or stenos of unsp precerb art,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I63211,Cerebral infrc due to unsp occls or stenosis of r verteb art,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I63212,Cerebral infrc due to unsp occls or stenosis of l verteb art,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I63213,Cereb infrc due to unsp occls or stenosis of bi verteb art,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I63219,Cereb infrc due to unsp occls or stenosis of unsp verteb art,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I6322,Cereb infrc due to unsp occls or stenosis of basilar artery,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I63231,Cereb infrc due to unsp occls or stenos of right carotid art,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I63232,Cereb infrc due to unsp occls or stenos of left carotid art,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I63233,Cereb infrc due to unsp occls or stenosis of bi carotid art,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I63239,Cereb infrc due to unsp occls or stenos of unsp carotid art,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I6329,Cerebral infrc due to unsp occls or stenosis of precerb art,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I6330,Cerebral infarction due to thombos unsp cerebral artery,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I63311,Cereb infrc due to thombos of right middle cerebral artery,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I63312,Cerebral infrc due to thombos of left middle cerebral artery,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I63313,Cerebral infrc due to thombos of bi middle cerebral arteries,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I63319,Cerebral infrc due to thombos unsp middle cerebral artery,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I63321,Cerebral infrc due to thombos of right ant cerebral artery,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I63322,Cerebral infrc due to thombos of left ant cerebral artery,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I63323,Cerebral infrc due to thombos of bi ant cerebral arteries,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I63329,Cerebral infrc due to thombos unsp anterior cerebral artery,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I63331,Cerebral infrc due to thombos of right post cerebral artery,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I63332,Cerebral infrc due to thombos of left post cerebral artery,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I63333,Cerebral infrc to thombos of bi posterior cerebral arteries,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I63339,Cerebral infrc due to thombos unsp posterior cerebral artery,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I63341,Cerebral infrc due to thrombosis of right cereblr artery,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I63342,Cerebral infarction due to thrombosis of left cereblr artery,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I63343,Cerebral infrc to thrombosis of bilateral cereblr arteries,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I63349,Cerebral infarction due to thombos unsp cerebellar artery,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
