ICD-10-CM Code,ICD-10-CM Code Description,CCSR Category,CCSR Category Description,Default CCSR (Y/N/X),Rationale
T364X1A,"Poisoning by tetracyclines, accidental (unintentional), initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T364X2A,"Poisoning by tetracyclines, intentional self-harm, initial encounter",INJ022,"Poisoning by drugs, initial encounter",N,08 Suicidal ideation/attempt/intentional self-harm
T364X3A,"Poisoning by tetracyclines, assault, initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T364X4A,"Poisoning by tetracyclines, undetermined, initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T365X1A,"Poisoning by aminoglycosides, accidental (unintentional), initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T365X2A,"Poisoning by aminoglycosides, intentional self-harm, initial encounter",INJ022,"Poisoning by drugs, initial encounter",N,08 Suicidal ideation/attempt/intentional self-harm
T365X3A,"Poisoning by aminoglycosides, assault, initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T365X4A,"Poisoning by aminoglycosides, undetermined, initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T366X1A,"Poisoning by rifampicins, accidental (unintentional), initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T366X2A,"Poisoning by rifampicins, intentional self-harm, initial encounter",INJ022,"Poisoning by drugs, initial encounter",N,08 Suicidal ideation/attempt/intentional self-harm
T366X3A,"Poisoning by rifampicins, assault, initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T366X4A,"Poisoning by rifampicins, undetermined, initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T367X1A,"Poisoning by antifungal antibiotics, systemically used, accidental (unintentional), initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T367X2A,"Poisoning by antifungal antibiotics, systemically used, intentional self-harm, initial encounter",INJ022,"Poisoning by drugs, initial encounter",N,08 Suicidal ideation/attempt/intentional self-harm
T367X3A,"Poisoning by antifungal antibiotics, systemically used, assault, initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T367X4A,"Poisoning by antifungal antibiotics, systemically used, undetermined, initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T368X1A,"Poisoning by other systemic antibiotics, accidental (unintentional), initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T368X2A,"Poisoning by other systemic antibiotics, intentional self-harm, initial encounter",INJ022,"Poisoning by drugs, initial encounter",N,08 Suicidal ideation/attempt/intentional self-harm
T368X3A,"Poisoning by other systemic antibiotics, assault, initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T368X4A,"Poisoning by other systemic antibiotics, undetermined, initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T3691XA,"Poisoning by unspecified systemic antibiotic, accidental (unintentional), initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T3692XA,"Poisoning by unspecified systemic antibiotic, intentional self-harm, initial encounter",INJ022,"Poisoning by drugs, initial encounter",N,08 Suicidal ideation/attempt/intentional self-harm
T3693XA,"Poisoning by unspecified systemic antibiotic, assault, initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T3694XA,"Poisoning by unspecified systemic antibiotic, undetermined, initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T370X1A,"Poisoning by sulfonamides, accidental (unintentional), initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T370X2A,"Poisoning by sulfonamides, intentional self-harm, initial encounter",INJ022,"Poisoning by drugs, initial encounter",N,08 Suicidal ideation/attempt/intentional self-harm
T370X3A,"Poisoning by sulfonamides, assault, initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T370X4A,"Poisoning by sulfonamides, undetermined, initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T371X1A,"Poisoning by antimycobacterial drugs, accidental (unintentional), initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T371X2A,"Poisoning by antimycobacterial drugs, intentional self-harm, initial encounter",INJ022,"Poisoning by drugs, initial encounter",N,08 Suicidal ideation/attempt/intentional self-harm
T371X3A,"Poisoning by antimycobacterial drugs, assault, initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T371X4A,"Poisoning by antimycobacterial drugs, undetermined, initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T372X1A,"Poisoning by antimalarials and drugs acting on other blood protozoa, accidental (unintentional), initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T372X2A,"Poisoning by antimalarials and drugs acting on other blood protozoa, intentional self-harm, initial encounter",INJ022,"Poisoning by drugs, initial encounter",N,08 Suicidal ideation/attempt/intentional self-harm
T372X3A,"Poisoning by antimalarials and drugs acting on other blood protozoa, assault, initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T372X4A,"Poisoning by antimalarials and drugs acting on other blood protozoa, undetermined, initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T373X1A,"Poisoning by other antiprotozoal drugs, accidental (unintentional), initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T373X2A,"Poisoning by other antiprotozoal drugs, intentional self-harm, initial encounter",INJ022,"Poisoning by drugs, initial encounter",N,08 Suicidal ideation/attempt/intentional self-harm
T373X3A,"Poisoning by other antiprotozoal drugs, assault, initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T373X4A,"Poisoning by other antiprotozoal drugs, undetermined, initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T374X1A,"Poisoning by anthelminthics, accidental (unintentional), initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T374X2A,"Poisoning by anthelminthics, intentional self-harm, initial encounter",INJ022,"Poisoning by drugs, initial encounter",N,08 Suicidal ideation/attempt/intentional self-harm
T374X3A,"Poisoning by anthelminthics, assault, initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T374X4A,"Poisoning by anthelminthics, undetermined, initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T375X1A,"Poisoning by antiviral drugs, accidental (unintentional), initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T375X2A,"Poisoning by antiviral drugs, intentional self-harm, initial encounter",INJ022,"Poisoning by drugs, initial encounter",N,08 Suicidal ideation/attempt/intentional self-harm
T375X3A,"Poisoning by antiviral drugs, assault, initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T375X4A,"Poisoning by antiviral drugs, undetermined, initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T378X1A,"Poisoning by other specified systemic anti-infectives and antiparasitics, accidental (unintentional), initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T378X2A,"Poisoning by other specified systemic anti-infectives and antiparasitics, intentional self-harm, initial encounter",INJ022,"Poisoning by drugs, initial encounter",N,08 Suicidal ideation/attempt/intentional self-harm
T378X3A,"Poisoning by other specified systemic anti-infectives and antiparasitics, assault, initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T378X4A,"Poisoning by other specified systemic anti-infectives and antiparasitics, undetermined, initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T3791XA,"Poisoning by unspecified systemic anti-infective and antiparasitics, accidental (unintentional), initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T3792XA,"Poisoning by unspecified systemic anti-infective and antiparasitics, intentional self-harm, initial encounter",INJ022,"Poisoning by drugs, initial encounter",N,08 Suicidal ideation/attempt/intentional self-harm
T3793XA,"Poisoning by unspecified systemic anti-infective and antiparasitics, assault, initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T3794XA,"Poisoning by unspecified systemic anti-infective and antiparasitics, undetermined, initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T380X1A,"Poisoning by glucocorticoids and synthetic analogues, accidental (unintentional), initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T380X2A,"Poisoning by glucocorticoids and synthetic analogues, intentional self-harm, initial encounter",INJ022,"Poisoning by drugs, initial encounter",N,08 Suicidal ideation/attempt/intentional self-harm
T380X3A,"Poisoning by glucocorticoids and synthetic analogues, assault, initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T380X4A,"Poisoning by glucocorticoids and synthetic analogues, undetermined, initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T381X1A,"Poisoning by thyroid hormones and substitutes, accidental (unintentional), initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T381X2A,"Poisoning by thyroid hormones and substitutes, intentional self-harm, initial encounter",INJ022,"Poisoning by drugs, initial encounter",N,08 Suicidal ideation/attempt/intentional self-harm
T381X3A,"Poisoning by thyroid hormones and substitutes, assault, initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T381X4A,"Poisoning by thyroid hormones and substitutes, undetermined, initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T382X1A,"Poisoning by antithyroid drugs, accidental (unintentional), initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T382X2A,"Poisoning by antithyroid drugs, intentional self-harm, initial encounter",INJ022,"Poisoning by drugs, initial encounter",N,08 Suicidal ideation/attempt/intentional self-harm
T382X3A,"Poisoning by antithyroid drugs, assault, initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T382X4A,"Poisoning by antithyroid drugs, undetermined, initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T383X1A,"Poisoning by insulin and oral hypoglycemic [antidiabetic] drugs, accidental (unintentional), initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T383X2A,"Poisoning by insulin and oral hypoglycemic [antidiabetic] drugs, intentional self-harm, initial encounter",INJ022,"Poisoning by drugs, initial encounter",N,08 Suicidal ideation/attempt/intentional self-harm
T383X3A,"Poisoning by insulin and oral hypoglycemic [antidiabetic] drugs, assault, initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T383X4A,"Poisoning by insulin and oral hypoglycemic [antidiabetic] drugs, undetermined, initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T384X1A,"Poisoning by oral contraceptives, accidental (unintentional), initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T384X2A,"Poisoning by oral contraceptives, intentional self-harm, initial encounter",INJ022,"Poisoning by drugs, initial encounter",N,08 Suicidal ideation/attempt/intentional self-harm
T384X3A,"Poisoning by oral contraceptives, assault, initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T384X4A,"Poisoning by oral contraceptives, undetermined, initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T385X1A,"Poisoning by other estrogens and progestogens, accidental (unintentional), initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T385X2A,"Poisoning by other estrogens and progestogens, intentional self-harm, initial encounter",INJ022,"Poisoning by drugs, initial encounter",N,08 Suicidal ideation/attempt/intentional self-harm
T385X3A,"Poisoning by other estrogens and progestogens, assault, initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T385X4A,"Poisoning by other estrogens and progestogens, undetermined, initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T386X1A,"Poisoning by antigonadotrophins, antiestrogens, antiandrogens, not elsewhere classified, accidental (unintentional), initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T386X2A,"Poisoning by antigonadotrophins, antiestrogens, antiandrogens, not elsewhere classified, intentional self-harm, initial encounter",INJ022,"Poisoning by drugs, initial encounter",N,08 Suicidal ideation/attempt/intentional self-harm
T386X3A,"Poisoning by antigonadotrophins, antiestrogens, antiandrogens, not elsewhere classified, assault, initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T386X4A,"Poisoning by antigonadotrophins, antiestrogens, antiandrogens, not elsewhere classified, undetermined, initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T387X1A,"Poisoning by androgens and anabolic congeners, accidental (unintentional), initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T387X2A,"Poisoning by androgens and anabolic congeners, intentional self-harm, initial encounter",INJ022,"Poisoning by drugs, initial encounter",N,08 Suicidal ideation/attempt/intentional self-harm
T387X3A,"Poisoning by androgens and anabolic congeners, assault, initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T387X4A,"Poisoning by androgens and anabolic congeners, undetermined, initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T38801A,"Poisoning by unspecified hormones and synthetic substitutes, accidental (unintentional), initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T38802A,"Poisoning by unspecified hormones and synthetic substitutes, intentional self-harm, initial encounter",INJ022,"Poisoning by drugs, initial encounter",N,08 Suicidal ideation/attempt/intentional self-harm
T38803A,"Poisoning by unspecified hormones and synthetic substitutes, assault, initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T38804A,"Poisoning by unspecified hormones and synthetic substitutes, undetermined, initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T38811A,"Poisoning by anterior pituitary [adenohypophyseal] hormones, accidental (unintentional), initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T38812A,"Poisoning by anterior pituitary [adenohypophyseal] hormones, intentional self-harm, initial encounter",INJ022,"Poisoning by drugs, initial encounter",N,08 Suicidal ideation/attempt/intentional self-harm
T38813A,"Poisoning by anterior pituitary [adenohypophyseal] hormones, assault, initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T38814A,"Poisoning by anterior pituitary [adenohypophyseal] hormones, undetermined, initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T38891A,"Poisoning by other hormones and synthetic substitutes, accidental (unintentional), initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T38892A,"Poisoning by other hormones and synthetic substitutes, intentional self-harm, initial encounter",INJ022,"Poisoning by drugs, initial encounter",N,08 Suicidal ideation/attempt/intentional self-harm
T38893A,"Poisoning by other hormones and synthetic substitutes, assault, initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T38894A,"Poisoning by other hormones and synthetic substitutes, undetermined, initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T38901A,"Poisoning by unspecified hormone antagonists, accidental (unintentional), initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T38902A,"Poisoning by unspecified hormone antagonists, intentional self-harm, initial encounter",INJ022,"Poisoning by drugs, initial encounter",N,08 Suicidal ideation/attempt/intentional self-harm
T38903A,"Poisoning by unspecified hormone antagonists, assault, initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T38904A,"Poisoning by unspecified hormone antagonists, undetermined, initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T38991A,"Poisoning by other hormone antagonists, accidental (unintentional), initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T38992A,"Poisoning by other hormone antagonists, intentional self-harm, initial encounter",INJ022,"Poisoning by drugs, initial encounter",N,08 Suicidal ideation/attempt/intentional self-harm
T38993A,"Poisoning by other hormone antagonists, assault, initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T38994A,"Poisoning by other hormone antagonists, undetermined, initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T39011A,"Poisoning by aspirin, accidental (unintentional), initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T39012A,"Poisoning by aspirin, intentional self-harm, initial encounter",INJ022,"Poisoning by drugs, initial encounter",N,08 Suicidal ideation/attempt/intentional self-harm
T39013A,"Poisoning by aspirin, assault, initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T39014A,"Poisoning by aspirin, undetermined, initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T39091A,"Poisoning by salicylates, accidental (unintentional), initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T39092A,"Poisoning by salicylates, intentional self-harm, initial encounter",INJ022,"Poisoning by drugs, initial encounter",N,08 Suicidal ideation/attempt/intentional self-harm
T39093A,"Poisoning by salicylates, assault, initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T39094A,"Poisoning by salicylates, undetermined, initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T391X1A,"Poisoning by 4-Aminophenol derivatives, accidental (unintentional), initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T391X2A,"Poisoning by 4-Aminophenol derivatives, intentional self-harm, initial encounter",INJ022,"Poisoning by drugs, initial encounter",N,08 Suicidal ideation/attempt/intentional self-harm
T391X3A,"Poisoning by 4-Aminophenol derivatives, assault, initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T391X4A,"Poisoning by 4-Aminophenol derivatives, undetermined, initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T392X1A,"Poisoning by pyrazolone derivatives, accidental (unintentional), initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T392X2A,"Poisoning by pyrazolone derivatives, intentional self-harm, initial encounter",INJ022,"Poisoning by drugs, initial encounter",N,08 Suicidal ideation/attempt/intentional self-harm
T392X3A,"Poisoning by pyrazolone derivatives, assault, initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T392X4A,"Poisoning by pyrazolone derivatives, undetermined, initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T39311A,"Poisoning by propionic acid derivatives, accidental (unintentional), initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T39312A,"Poisoning by propionic acid derivatives, intentional self-harm, initial encounter",INJ022,"Poisoning by drugs, initial encounter",N,08 Suicidal ideation/attempt/intentional self-harm
T39313A,"Poisoning by propionic acid derivatives, assault, initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T39314A,"Poisoning by propionic acid derivatives, undetermined, initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T39391A,"Poisoning by other nonsteroidal anti-inflammatory drugs [NSAID], accidental (unintentional), initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T39392A,"Poisoning by other nonsteroidal anti-inflammatory drugs [NSAID], intentional self-harm, initial encounter",INJ022,"Poisoning by drugs, initial encounter",N,08 Suicidal ideation/attempt/intentional self-harm
T39393A,"Poisoning by other nonsteroidal anti-inflammatory drugs [NSAID], assault, initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T39394A,"Poisoning by other nonsteroidal anti-inflammatory drugs [NSAID], undetermined, initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T394X1A,"Poisoning by antirheumatics, not elsewhere classified, accidental (unintentional), initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T394X2A,"Poisoning by antirheumatics, not elsewhere classified, intentional self-harm, initial encounter",INJ022,"Poisoning by drugs, initial encounter",N,08 Suicidal ideation/attempt/intentional self-harm
T394X3A,"Poisoning by antirheumatics, not elsewhere classified, assault, initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T394X4A,"Poisoning by antirheumatics, not elsewhere classified, undetermined, initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T398X1A,"Poisoning by other nonopioid analgesics and antipyretics, not elsewhere classified, accidental (unintentional), initial encounter",INJ022,"Poisoning by drugs, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter
T398X2A,"Poisoning by other nonopioid analgesics and antipyretics, not elsewhere classified, intentional self-harm, initial encounter",INJ022,"Poisoning by drugs, initial encounter",N,08 Suicidal ideation/attempt/intentional self-harm
