ICD-10-CM Code,ICD-10-CM Code Description,CCSR Category,CCSR Category Description,Default CCSR (Y/N/X),Rationale,Foreign body
T1581XA,"Foreign body in other and multiple parts of external eye, right eye, initial encounter",EXT020,"External cause codes: intent of injury, accidental/unintentional",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T1582XA,"Foreign body in other and multiple parts of external eye, left eye, initial encounter",EXT018,"External cause codes: other specified, classifiable and NEC; initial encounter",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T1582XA,"Foreign body in other and multiple parts of external eye, left eye, initial encounter",EXT020,"External cause codes: intent of injury, accidental/unintentional",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T1590XA,"Foreign body on external eye, part unspecified, unspecified eye, initial encounter",EXT018,"External cause codes: other specified, classifiable and NEC; initial encounter",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T1590XA,"Foreign body on external eye, part unspecified, unspecified eye, initial encounter",EXT020,"External cause codes: intent of injury, accidental/unintentional",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T1591XA,"Foreign body on external eye, part unspecified, right eye, initial encounter",EXT018,"External cause codes: other specified, classifiable and NEC; initial encounter",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T1591XA,"Foreign body on external eye, part unspecified, right eye, initial encounter",EXT020,"External cause codes: intent of injury, accidental/unintentional",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T1592XA,"Foreign body on external eye, part unspecified, left eye, initial encounter",EXT018,"External cause codes: other specified, classifiable and NEC; initial encounter",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T1592XA,"Foreign body on external eye, part unspecified, left eye, initial encounter",EXT020,"External cause codes: intent of injury, accidental/unintentional",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T161XXA,"Foreign body in right ear, initial encounter",EXT018,"External cause codes: other specified, classifiable and NEC; initial encounter",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T161XXA,"Foreign body in right ear, initial encounter",EXT020,"External cause codes: intent of injury, accidental/unintentional",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T162XXA,"Foreign body in left ear, initial encounter",EXT018,"External cause codes: other specified, classifiable and NEC; initial encounter",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T162XXA,"Foreign body in left ear, initial encounter",EXT020,"External cause codes: intent of injury, accidental/unintentional",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T169XXA,"Foreign body in ear, unspecified ear, initial encounter",EXT018,"External cause codes: other specified, classifiable and NEC; initial encounter",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T169XXA,"Foreign body in ear, unspecified ear, initial encounter",EXT020,"External cause codes: intent of injury, accidental/unintentional",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T170XXA,"Foreign body in nasal sinus, initial encounter",EXT018,"External cause codes: other specified, classifiable and NEC; initial encounter",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T170XXA,"Foreign body in nasal sinus, initial encounter",EXT020,"External cause codes: intent of injury, accidental/unintentional",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T171XXA,"Foreign body in nostril, initial encounter",EXT018,"External cause codes: other specified, classifiable and NEC; initial encounter",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T171XXA,"Foreign body in nostril, initial encounter",EXT020,"External cause codes: intent of injury, accidental/unintentional",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17200A,"Unspecified foreign body in pharynx causing asphyxiation, initial encounter",EXT017,External cause codes: suffocation/inhalation; initial encounter,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17200A,"Unspecified foreign body in pharynx causing asphyxiation, initial encounter",EXT020,"External cause codes: intent of injury, accidental/unintentional",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17208A,"Unspecified foreign body in pharynx causing other injury, initial encounter",EXT018,"External cause codes: other specified, classifiable and NEC; initial encounter",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17208A,"Unspecified foreign body in pharynx causing other injury, initial encounter",EXT020,"External cause codes: intent of injury, accidental/unintentional",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17210A,"Gastric contents in pharynx causing asphyxiation, initial encounter",EXT017,External cause codes: suffocation/inhalation; initial encounter,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17210A,"Gastric contents in pharynx causing asphyxiation, initial encounter",EXT020,"External cause codes: intent of injury, accidental/unintentional",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17218A,"Gastric contents in pharynx causing other injury, initial encounter",EXT018,"External cause codes: other specified, classifiable and NEC; initial encounter",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17218A,"Gastric contents in pharynx causing other injury, initial encounter",EXT020,"External cause codes: intent of injury, accidental/unintentional",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17220A,"Food in pharynx causing asphyxiation, initial encounter",EXT017,External cause codes: suffocation/inhalation; initial encounter,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17220A,"Food in pharynx causing asphyxiation, initial encounter",EXT020,"External cause codes: intent of injury, accidental/unintentional",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17228A,"Food in pharynx causing other injury, initial encounter",EXT018,"External cause codes: other specified, classifiable and NEC; initial encounter",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17228A,"Food in pharynx causing other injury, initial encounter",EXT020,"External cause codes: intent of injury, accidental/unintentional",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17290A,"Other foreign object in pharynx causing asphyxiation, initial encounter",EXT017,External cause codes: suffocation/inhalation; initial encounter,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17290A,"Other foreign object in pharynx causing asphyxiation, initial encounter",EXT020,"External cause codes: intent of injury, accidental/unintentional",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17298A,"Other foreign object in pharynx causing other injury, initial encounter",EXT018,"External cause codes: other specified, classifiable and NEC; initial encounter",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17298A,"Other foreign object in pharynx causing other injury, initial encounter",EXT020,"External cause codes: intent of injury, accidental/unintentional",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17300A,"Unspecified foreign body in larynx causing asphyxiation, initial encounter",EXT017,External cause codes: suffocation/inhalation; initial encounter,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17300A,"Unspecified foreign body in larynx causing asphyxiation, initial encounter",EXT020,"External cause codes: intent of injury, accidental/unintentional",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17308A,"Unspecified foreign body in larynx causing other injury, initial encounter",EXT018,"External cause codes: other specified, classifiable and NEC; initial encounter",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17308A,"Unspecified foreign body in larynx causing other injury, initial encounter",EXT020,"External cause codes: intent of injury, accidental/unintentional",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17310A,"Gastric contents in larynx causing asphyxiation, initial encounter",EXT017,External cause codes: suffocation/inhalation; initial encounter,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17310A,"Gastric contents in larynx causing asphyxiation, initial encounter",EXT020,"External cause codes: intent of injury, accidental/unintentional",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17318A,"Gastric contents in larynx causing other injury, initial encounter",EXT018,"External cause codes: other specified, classifiable and NEC; initial encounter",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17318A,"Gastric contents in larynx causing other injury, initial encounter",EXT020,"External cause codes: intent of injury, accidental/unintentional",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17320A,"Food in larynx causing asphyxiation, initial encounter",EXT017,External cause codes: suffocation/inhalation; initial encounter,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17320A,"Food in larynx causing asphyxiation, initial encounter",EXT020,"External cause codes: intent of injury, accidental/unintentional",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17328A,"Food in larynx causing other injury, initial encounter",EXT018,"External cause codes: other specified, classifiable and NEC; initial encounter",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17328A,"Food in larynx causing other injury, initial encounter",EXT020,"External cause codes: intent of injury, accidental/unintentional",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17390A,"Other foreign object in larynx causing asphyxiation, initial encounter",EXT017,External cause codes: suffocation/inhalation; initial encounter,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17390A,"Other foreign object in larynx causing asphyxiation, initial encounter",EXT020,"External cause codes: intent of injury, accidental/unintentional",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17398A,"Other foreign object in larynx causing other injury, initial encounter",EXT018,"External cause codes: other specified, classifiable and NEC; initial encounter",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17398A,"Other foreign object in larynx causing other injury, initial encounter",EXT020,"External cause codes: intent of injury, accidental/unintentional",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17400A,"Unspecified foreign body in trachea causing asphyxiation, initial encounter",EXT017,External cause codes: suffocation/inhalation; initial encounter,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17400A,"Unspecified foreign body in trachea causing asphyxiation, initial encounter",EXT020,"External cause codes: intent of injury, accidental/unintentional",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17408A,"Unspecified foreign body in trachea causing other injury, initial encounter",EXT018,"External cause codes: other specified, classifiable and NEC; initial encounter",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17408A,"Unspecified foreign body in trachea causing other injury, initial encounter",EXT020,"External cause codes: intent of injury, accidental/unintentional",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17410A,"Gastric contents in trachea causing asphyxiation, initial encounter",EXT017,External cause codes: suffocation/inhalation; initial encounter,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17410A,"Gastric contents in trachea causing asphyxiation, initial encounter",EXT020,"External cause codes: intent of injury, accidental/unintentional",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17418A,"Gastric contents in trachea causing other injury, initial encounter",EXT018,"External cause codes: other specified, classifiable and NEC; initial encounter",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17418A,"Gastric contents in trachea causing other injury, initial encounter",EXT020,"External cause codes: intent of injury, accidental/unintentional",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17420A,"Food in trachea causing asphyxiation, initial encounter",EXT017,External cause codes: suffocation/inhalation; initial encounter,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17420A,"Food in trachea causing asphyxiation, initial encounter",EXT020,"External cause codes: intent of injury, accidental/unintentional",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17428A,"Food in trachea causing other injury, initial encounter",EXT018,"External cause codes: other specified, classifiable and NEC; initial encounter",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17428A,"Food in trachea causing other injury, initial encounter",EXT020,"External cause codes: intent of injury, accidental/unintentional",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17490A,"Other foreign object in trachea causing asphyxiation, initial encounter",EXT017,External cause codes: suffocation/inhalation; initial encounter,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17490A,"Other foreign object in trachea causing asphyxiation, initial encounter",EXT020,"External cause codes: intent of injury, accidental/unintentional",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17498A,"Other foreign object in trachea causing other injury, initial encounter",EXT018,"External cause codes: other specified, classifiable and NEC; initial encounter",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17498A,"Other foreign object in trachea causing other injury, initial encounter",EXT020,"External cause codes: intent of injury, accidental/unintentional",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17500A,"Unspecified foreign body in bronchus causing asphyxiation, initial encounter",EXT017,External cause codes: suffocation/inhalation; initial encounter,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17500A,"Unspecified foreign body in bronchus causing asphyxiation, initial encounter",EXT020,"External cause codes: intent of injury, accidental/unintentional",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17508A,"Unspecified foreign body in bronchus causing other injury, initial encounter",EXT018,"External cause codes: other specified, classifiable and NEC; initial encounter",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17508A,"Unspecified foreign body in bronchus causing other injury, initial encounter",EXT020,"External cause codes: intent of injury, accidental/unintentional",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17510A,"Gastric contents in bronchus causing asphyxiation, initial encounter",EXT017,External cause codes: suffocation/inhalation; initial encounter,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17510A,"Gastric contents in bronchus causing asphyxiation, initial encounter",EXT020,"External cause codes: intent of injury, accidental/unintentional",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17518A,"Gastric contents in bronchus causing other injury, initial encounter",EXT018,"External cause codes: other specified, classifiable and NEC; initial encounter",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17518A,"Gastric contents in bronchus causing other injury, initial encounter",EXT020,"External cause codes: intent of injury, accidental/unintentional",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17520A,"Food in bronchus causing asphyxiation, initial encounter",EXT017,External cause codes: suffocation/inhalation; initial encounter,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17520A,"Food in bronchus causing asphyxiation, initial encounter",EXT020,"External cause codes: intent of injury, accidental/unintentional",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17528A,"Food in bronchus causing other injury, initial encounter",EXT018,"External cause codes: other specified, classifiable and NEC; initial encounter",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17528A,"Food in bronchus causing other injury, initial encounter",EXT020,"External cause codes: intent of injury, accidental/unintentional",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17590A,"Other foreign object in bronchus causing asphyxiation, initial encounter",EXT017,External cause codes: suffocation/inhalation; initial encounter,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17590A,"Other foreign object in bronchus causing asphyxiation, initial encounter",EXT020,"External cause codes: intent of injury, accidental/unintentional",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17598A,"Other foreign object in bronchus causing other injury, initial encounter",EXT018,"External cause codes: other specified, classifiable and NEC; initial encounter",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17598A,"Other foreign object in bronchus causing other injury, initial encounter",EXT020,"External cause codes: intent of injury, accidental/unintentional",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17800A,"Unspecified foreign body in other parts of respiratory tract causing asphyxiation, initial encounter",EXT017,External cause codes: suffocation/inhalation; initial encounter,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17800A,"Unspecified foreign body in other parts of respiratory tract causing asphyxiation, initial encounter",EXT020,"External cause codes: intent of injury, accidental/unintentional",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17808A,"Unspecified foreign body in other parts of respiratory tract causing other injury, initial encounter",EXT018,"External cause codes: other specified, classifiable and NEC; initial encounter",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17808A,"Unspecified foreign body in other parts of respiratory tract causing other injury, initial encounter",EXT020,"External cause codes: intent of injury, accidental/unintentional",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17810A,"Gastric contents in other parts of respiratory tract causing asphyxiation, initial encounter",EXT017,External cause codes: suffocation/inhalation; initial encounter,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17810A,"Gastric contents in other parts of respiratory tract causing asphyxiation, initial encounter",EXT020,"External cause codes: intent of injury, accidental/unintentional",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17818A,"Gastric contents in other parts of respiratory tract causing other injury, initial encounter",EXT018,"External cause codes: other specified, classifiable and NEC; initial encounter",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17818A,"Gastric contents in other parts of respiratory tract causing other injury, initial encounter",EXT020,"External cause codes: intent of injury, accidental/unintentional",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17820A,"Food in other parts of respiratory tract causing asphyxiation, initial encounter",EXT017,External cause codes: suffocation/inhalation; initial encounter,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17820A,"Food in other parts of respiratory tract causing asphyxiation, initial encounter",EXT020,"External cause codes: intent of injury, accidental/unintentional",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17828A,"Food in other parts of respiratory tract causing other injury, initial encounter",EXT018,"External cause codes: other specified, classifiable and NEC; initial encounter",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17828A,"Food in other parts of respiratory tract causing other injury, initial encounter",EXT020,"External cause codes: intent of injury, accidental/unintentional",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17890A,"Other foreign object in other parts of respiratory tract causing asphyxiation, initial encounter",EXT017,External cause codes: suffocation/inhalation; initial encounter,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17890A,"Other foreign object in other parts of respiratory tract causing asphyxiation, initial encounter",EXT020,"External cause codes: intent of injury, accidental/unintentional",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17898A,"Other foreign object in other parts of respiratory tract causing other injury, initial encounter",EXT018,"External cause codes: other specified, classifiable and NEC; initial encounter",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17898A,"Other foreign object in other parts of respiratory tract causing other injury, initial encounter",EXT020,"External cause codes: intent of injury, accidental/unintentional",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17900A,"Unspecified foreign body in respiratory tract, part unspecified causing asphyxiation, initial encounter",EXT017,External cause codes: suffocation/inhalation; initial encounter,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17900A,"Unspecified foreign body in respiratory tract, part unspecified causing asphyxiation, initial encounter",EXT020,"External cause codes: intent of injury, accidental/unintentional",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17908A,"Unspecified foreign body in respiratory tract, part unspecified causing other injury, initial encounter",EXT018,"External cause codes: other specified, classifiable and NEC; initial encounter",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17908A,"Unspecified foreign body in respiratory tract, part unspecified causing other injury, initial encounter",EXT020,"External cause codes: intent of injury, accidental/unintentional",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17910A,"Gastric contents in respiratory tract, part unspecified causing asphyxiation, initial encounter",EXT017,External cause codes: suffocation/inhalation; initial encounter,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17910A,"Gastric contents in respiratory tract, part unspecified causing asphyxiation, initial encounter",EXT020,"External cause codes: intent of injury, accidental/unintentional",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17918A,"Gastric contents in respiratory tract, part unspecified causing other injury, initial encounter",EXT018,"External cause codes: other specified, classifiable and NEC; initial encounter",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17918A,"Gastric contents in respiratory tract, part unspecified causing other injury, initial encounter",EXT020,"External cause codes: intent of injury, accidental/unintentional",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17920A,"Food in respiratory tract, part unspecified causing asphyxiation, initial encounter",EXT017,External cause codes: suffocation/inhalation; initial encounter,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17920A,"Food in respiratory tract, part unspecified causing asphyxiation, initial encounter",EXT020,"External cause codes: intent of injury, accidental/unintentional",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17928A,"Food in respiratory tract, part unspecified causing other injury, initial encounter",EXT018,"External cause codes: other specified, classifiable and NEC; initial encounter",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17928A,"Food in respiratory tract, part unspecified causing other injury, initial encounter",EXT020,"External cause codes: intent of injury, accidental/unintentional",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17990A,"Other foreign object in respiratory tract, part unspecified in causing asphyxiation, initial encounter",EXT017,External cause codes: suffocation/inhalation; initial encounter,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17990A,"Other foreign object in respiratory tract, part unspecified in causing asphyxiation, initial encounter",EXT020,"External cause codes: intent of injury, accidental/unintentional",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17998A,"Other foreign object in respiratory tract, part unspecified causing other injury, initial encounter",EXT018,"External cause codes: other specified, classifiable and NEC; initial encounter",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T17998A,"Other foreign object in respiratory tract, part unspecified causing other injury, initial encounter",EXT020,"External cause codes: intent of injury, accidental/unintentional",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T180XXA,"Foreign body in mouth, initial encounter",EXT018,"External cause codes: other specified, classifiable and NEC; initial encounter",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T180XXA,"Foreign body in mouth, initial encounter",EXT020,"External cause codes: intent of injury, accidental/unintentional",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T18100A,"Unspecified foreign body in esophagus causing compression of trachea, initial encounter",EXT018,"External cause codes: other specified, classifiable and NEC; initial encounter",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T18100A,"Unspecified foreign body in esophagus causing compression of trachea, initial encounter",EXT020,"External cause codes: intent of injury, accidental/unintentional",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T18108A,"Unspecified foreign body in esophagus causing other injury, initial encounter",EXT018,"External cause codes: other specified, classifiable and NEC; initial encounter",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T18108A,"Unspecified foreign body in esophagus causing other injury, initial encounter",EXT020,"External cause codes: intent of injury, accidental/unintentional",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T18110A,"Gastric contents in esophagus causing compression of trachea, initial encounter",EXT018,"External cause codes: other specified, classifiable and NEC; initial encounter",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T18110A,"Gastric contents in esophagus causing compression of trachea, initial encounter",EXT020,"External cause codes: intent of injury, accidental/unintentional",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T18118A,"Gastric contents in esophagus causing other injury, initial encounter",EXT018,"External cause codes: other specified, classifiable and NEC; initial encounter",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T18118A,"Gastric contents in esophagus causing other injury, initial encounter",EXT020,"External cause codes: intent of injury, accidental/unintentional",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T18120A,"Food in esophagus causing compression of trachea, initial encounter",EXT018,"External cause codes: other specified, classifiable and NEC; initial encounter",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T18120A,"Food in esophagus causing compression of trachea, initial encounter",EXT020,"External cause codes: intent of injury, accidental/unintentional",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T18128A,"Food in esophagus causing other injury, initial encounter",EXT018,"External cause codes: other specified, classifiable and NEC; initial encounter",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
T18128A,"Food in esophagus causing other injury, initial encounter",EXT020,"External cause codes: intent of injury, accidental/unintentional",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Foreign body
