ICD-10-CM Code,ICD-10-CM Code Description,CCSR Category,CCSR Category Description,Default CCSR (Y/N/X),Rationale,Comment
Z4509,Encounter for adjustment and management of cardiac device,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z451,Encounter for adjustment and management of infusion pump,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z452,Encounter for adjustment and management of VAD,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z4531,Encounter for adjustment and management of implanted visual substitution device,EYE010,Blindness and vision defects,Y,07 Signs/symptoms and factors influencing health status,fitting of prostheses; and adjustment of devices
Z4531,Encounter for adjustment and management of implanted visual substitution device,FAC009,"Implant, device or graft related encounter",N,07 Signs/symptoms and factors influencing health status,fitting of prostheses; and adjustment of devices
Z45320,Encounter for adjustment and management of bone conduction device,EAR004,Hearing loss,Y,07 Signs/symptoms and factors influencing health status,fitting of prostheses; and adjustment of devices
Z45320,Encounter for adjustment and management of bone conduction device,FAC009,"Implant, device or graft related encounter",N,07 Signs/symptoms and factors influencing health status,fitting of prostheses; and adjustment of devices
Z45321,Encounter for adjustment and management of cochlear device,EAR004,Hearing loss,Y,07 Signs/symptoms and factors influencing health status,fitting of prostheses; and adjustment of devices
Z45321,Encounter for adjustment and management of cochlear device,FAC009,"Implant, device or graft related encounter",N,07 Signs/symptoms and factors influencing health status,fitting of prostheses; and adjustment of devices
Z45328,Encounter for adjustment and management of other implanted hearing device,EAR004,Hearing loss,Y,07 Signs/symptoms and factors influencing health status,fitting of prostheses; and adjustment of devices
Z45328,Encounter for adjustment and management of other implanted hearing device,FAC009,"Implant, device or graft related encounter",N,07 Signs/symptoms and factors influencing health status,fitting of prostheses; and adjustment of devices
Z4541,Encounter for adjustment and management of CSF drain dev,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z4542,Encounter for adjust and mgmt of neuropacemaker (brain),FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z4549,Encntr for adjust and mgmt of implanted nervous sys device,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z45811,Encounter for adjustment or removal of right breast implant,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z45812,Encounter for adjustment or removal of left breast implant,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z45819,Encounter for adjustment or removal of unsp breast implant,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z4582,Encntr for adjust or removal of myringotomy device (tube),FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z4589,Encounter for adjustment and management of implanted devices,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z459,Encounter for adjust and management of unsp implanted device,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z460,Encounter for fit/adjst of spectacles and contact lenses,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z461,Encounter for fitting and adjustment of hearing aid,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z462,Encntr for fit/adjst of dev rel to nrv sys and specl senses,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z463,Encounter for fit/adjst of dental prosthetic device,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z464,Encounter for fitting and adjustment of orthodontic device,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z4651,Encounter for fitting and adjustment of gastric lap band,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z4659,Encounter for fit/adjst of GI appliance and device,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z466,Encounter for fitting and adjustment of urinary device,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z4681,Encounter for fitting and adjustment of insulin pump,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z4682,Encounter for fit/adjst of non-vascular catheter,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z4689,Encounter for fitting and adjustment of oth devices,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z469,Encounter for fitting and adjustment of unspecified device,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z950,Presence of cardiac pacemaker,FAC009,"Implant, device or graft related encounter",N,07 Signs/symptoms and factors influencing health status,fitting of prostheses; and adjustment of devices
Z951,Presence of aortocoronary bypass graft,FAC009,"Implant, device or graft related encounter",N,07 Signs/symptoms and factors influencing health status,fitting of prostheses; and adjustment of devices
Z952,Presence of prosthetic heart valve,FAC009,"Implant, device or graft related encounter",N,07 Signs/symptoms and factors influencing health status,fitting of prostheses; and adjustment of devices
Z953,Presence of xenogenic heart valve,FAC009,"Implant, device or graft related encounter",N,07 Signs/symptoms and factors influencing health status,fitting of prostheses; and adjustment of devices
Z954,Presence of other heart-valve replacement,FAC009,"Implant, device or graft related encounter",N,07 Signs/symptoms and factors influencing health status,fitting of prostheses; and adjustment of devices
Z955,Presence of coronary angioplasty implant and graft,FAC009,"Implant, device or graft related encounter",N,07 Signs/symptoms and factors influencing health status,fitting of prostheses; and adjustment of devices
Z95810,Presence of automatic (implantable) cardiac defibrillator,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z95811,Presence of heart assist device,FAC009,"Implant, device or graft related encounter",N,07 Signs/symptoms and factors influencing health status,fitting of prostheses; and adjustment of devices
Z95812,Presence of fully implantable artificial heart,FAC009,"Implant, device or graft related encounter",N,07 Signs/symptoms and factors influencing health status,fitting of prostheses; and adjustment of devices
Z95818,Presence of other cardiac implants and grafts,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z95820,Peripheral vascular angioplasty status with implants and grafts,FAC009,"Implant, device or graft related encounter",N,07 Signs/symptoms and factors influencing health status,fitting of prostheses; and adjustment of devices
Z95828,Presence of other vascular implants and grafts,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z959,"Presence of cardiac and vascular implant and graft, unsp",FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z960,Presence of urogenital implants,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z961,Presence of intraocular lens,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z9620,"Presence of otological and audiological implant, unspecified",FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z9621,Cochlear implant status,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z9622,Myringotomy tube(s) status,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z9629,Presence of other otological and audiological implants,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z963,Presence of artificial larynx,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z9641,Presence of insulin pump (external) (internal),FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z9649,Presence of other endocrine implants,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z965,Presence of tooth-root and mandibular implants,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z9660,Presence of unspecified orthopedic joint implant,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z96611,Presence of right artificial shoulder joint,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z96612,Presence of left artificial shoulder joint,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z96619,Presence of unspecified artificial shoulder joint,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z96621,Presence of right artificial elbow joint,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z96622,Presence of left artificial elbow joint,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z96629,Presence of unspecified artificial elbow joint,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z96631,Presence of right artificial wrist joint,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z96632,Presence of left artificial wrist joint,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z96639,Presence of unspecified artificial wrist joint,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z96641,Presence of right artificial hip joint,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z96642,Presence of left artificial hip joint,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z96643,"Presence of artificial hip joint, bilateral",FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z96649,Presence of unspecified artificial hip joint,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z96651,Presence of right artificial knee joint,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z96652,Presence of left artificial knee joint,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z96653,"Presence of artificial knee joint, bilateral",FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z96659,Presence of unspecified artificial knee joint,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z96661,Presence of right artificial ankle joint,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z96662,Presence of left artificial ankle joint,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z96669,Presence of unspecified artificial ankle joint,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z96691,Finger-joint replacement of right hand,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z96692,Finger-joint replacement of left hand,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z96693,"Finger-joint replacement, bilateral",FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z96698,Presence of other orthopedic joint implants,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z967,Presence of other bone and tendon implants,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z9681,Presence of artificial skin,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z9682,Presence of neurostimulator,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z9689,Presence of other specified functional implants,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z969,"Presence of functional implant, unspecified",FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z970,Presence of artificial eye,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z9710,"Presence of artificial limb (complete) (partial), unsp",FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z9711,Presence of artificial right arm (complete) (partial),FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z9712,Presence of artificial left arm (complete) (partial),FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z9713,Presence of artificial right leg (complete) (partial),FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z9714,Presence of artificial left leg (complete) (partial),FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z9715,"Presence of artificial arms, bilateral (complete) (partial)",FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z9716,"Presence of artificial legs, bilateral (complete) (partial)",FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z972,Presence of dental prosthetic device (complete) (partial),FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z973,Presence of spectacles and contact lenses,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z974,Presence of external hearing-aid,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z978,Presence of other specified devices,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z980,Intestinal bypass and anastomosis status,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z981,Arthrodesis status,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z982,Presence of cerebrospinal fluid drainage device,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z983,Post therapeutic collapse of lung status,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z9841,"Cataract extraction status, right eye",FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z9842,"Cataract extraction status, left eye",FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z9849,"Cataract extraction status, unspecified eye",FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z9861,Coronary angioplasty status,FAC009,"Implant, device or graft related encounter",N,07 Signs/symptoms and factors influencing health status,fitting of prostheses; and adjustment of devices
Z9862,Peripheral vascular angioplasty status,FAC009,"Implant, device or graft related encounter",N,07 Signs/symptoms and factors influencing health status,fitting of prostheses; and adjustment of devices
Z98810,Dental sealant status,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z98811,Dental restoration status,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z98818,Other dental procedure status,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z9882,Breast implant status,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z9883,Filtering (vitreous) bleb after glaucoma surgery status,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z9884,Bariatric surgery status,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z9889,Other specified postprocedural states,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
Z98890,Other specified postprocedural states,FAC009,"Implant, device or graft related encounter",Y,0 Not Applicable,fitting of prostheses; and adjustment of devices
F003GKZ,Comm/Cognit Skill Assess Neuro Body w AV Equip,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F003GMZ,Comm/Cognit Skill Assess Neuro Body w Augment Comm Equip,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F003GPZ,Comm/Cognit Skill Assessment of Neuro Body using Computer,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F003GYZ,Comm/Cognit Skill Assessment of Neuro Body using Oth Equip,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F003GZZ,Comm/Cognit Skill Assessment of Neuro Body,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F00Z01Z,Filtered Speech Assessment using Audiometer,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F00Z02Z,Filtered Speech Assessment using Sound Field / Booth,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F00Z0KZ,Filtered Speech Assessment using Audiovisual Equipment,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F00Z0ZZ,Filtered Speech Assessment,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F00Z11Z,Speech Threshold Assessment using Audiometer,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F00Z12Z,Speech Threshold Assessment using Sound Field / Booth,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F00Z19Z,Speech Threshold Assessment using Cochlear Implant Equipment,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F00Z1KZ,Speech Threshold Assessment using Audiovisual Equipment,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F00Z1ZZ,Speech Threshold Assessment,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F00Z21Z,Speech/Word Recognition Assessment using Audiometer,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F00Z22Z,Speech/Word Recognition Assessment using Sound Field / Booth,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F00Z29Z,Speech Recognition Assess w Cochlear Implant Equip,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F00Z2KZ,Speech/Word Recognition Assessment using AV Equipment,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F00Z2ZZ,Speech/Word Recognition Assessment,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F00Z31Z,Staggered Spondaic Word Assessment using Audiometer,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F00Z32Z,Staggered Spondaic Word Assessment using Sound Field / Booth,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F00Z3KZ,Staggered Spondaic Word Assessment using AV Equipment,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F00Z3ZZ,Staggered Spondaic Word Assessment,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F00Z41Z,Sensorineural Acuity Level Assessment using Audiometer,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F00Z42Z,Sensorineural Acuity Assessment using Sound Field/Booth,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F00Z4ZZ,Sensorineural Acuity Level Assessment,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F00Z51Z,Synth Sentence Ident Assessment using Audiometer,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F00Z52Z,Synth Sentence Ident Assessment using Sound Field/Booth,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F00Z59Z,Synth Sentence Ident Assess w Cochlear Implant Equip,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F00Z5KZ,Synth Sentence Ident Assessment using AV Equipment,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F00Z6KZ,Speech/Lang Screen Assessment using AV Equipment,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F00Z6MZ,Speech/Lang Screen Assessment using Augment Comm Equipment,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F00Z6PZ,Speech and/or Language Screening Assessment using Computer,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F00Z6YZ,Speech and/or Language Screening Assessment using Oth Equip,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F00Z6ZZ,Speech and/or Language Screening Assessment,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F00Z7KZ,Nonspoken Language Assessment using Audiovisual Equipment,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F00Z7MZ,Nonspoken Language Assessment using Augment Comm Equipment,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F00Z7PZ,Nonspoken Language Assessment using Computer,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F00Z7YZ,Nonspoken Language Assessment using Other Equipment,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F00Z7ZZ,Nonspoken Language Assessment,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F00Z8KZ,Receptive/Expressive Language Assessment using AV Equipment,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F00Z8MZ,Receptive/Express Lang Assess w Augment Comm Equip,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F00Z8PZ,Receptive/Expressive Language Assessment using Computer,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F00Z8YZ,Receptive/Expressive Language Assessment using Oth Equip,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F00Z8ZZ,Receptive/Expressive Language Assessment,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F00Z9KZ,Articulation/Phonology Assessment using AV Equipment,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F00Z9PZ,Articulation/Phonology Assessment using Computer,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F00Z9QZ,Articulation/Phonology Assess w Speech Analysis Equip,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F00Z9YZ,Articulation/Phonology Assessment using Other Equipment,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F00Z9ZZ,Articulation/Phonology Assessment,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F00ZBKZ,Motor Speech Assessment using Audiovisual Equipment,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
