ICD-10-CM Code,ICD-10-CM Code Description,CCSR Category,CCSR Category Description,Default CCSR (Y/N/X),Rationale
S14123A,"Central cord syndrome at C3, init",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S14124A,"Central cord syndrome at C4, init",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S14125A,"Central cord syndrome at C5, init",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S14126A,"Central cord syndrome at C6, init",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S14127A,"Central cord syndrome at C7, init",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S14128A,"Central cord syndrome at C8, init",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S14129A,"Central cord synd at unsp level of cerv spinal cord, init",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S14131A,"Anterior cord syndrome at C1, init",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S14132A,"Anterior cord syndrome at C2, init",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S14133A,"Anterior cord syndrome at C3, init",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S14134A,"Anterior cord syndrome at C4, init",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S14135A,"Anterior cord syndrome at C5, init",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S14136A,"Anterior cord syndrome at C6, init",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S14137A,"Anterior cord syndrome at C7, init",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S14138A,"Anterior cord syndrome at C8, init",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S14139A,"Ant cord syndrome at unsp level of cerv spinal cord, init",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S14141A,"Brown-Sequard syndrome at C1, init",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S14142A,"Brown-Sequard syndrome at C2, init",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S14143A,"Brown-Sequard syndrome at C3, init",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S14144A,"Brown-Sequard syndrome at C4, init",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S14145A,"Brown-Sequard syndrome at C5, init",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S14146A,"Brown-Sequard syndrome at C6, init",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S14147A,"Brown-Sequard syndrome at C7, init",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S14148A,"Brown-Sequard syndrome at C8, init",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S14149A,"Brown-Sequard synd at unsp level of cerv spinal cord, init",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S14151A,"Oth incomplete lesion at C1, init",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S14152A,"Oth incomplete lesion at C2, init",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S14153A,"Oth incomplete lesion at C3, init",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S14154A,"Oth incomplete lesion at C4, init",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S14155A,"Oth incomplete lesion at C5, init",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S14156A,"Oth incomplete lesion at C6, init",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S14157A,"Oth incomplete lesion at C7, init",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S14158A,"Oth incomplete lesion at C8, init",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S14159A,"Oth incmpl lesion at unsp level of cerv spinal cord, init",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S240XXA,"Concussion and edema of thoracic spinal cord, init encntr",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S24101A,"Unsp injury at T1 level of thoracic spinal cord, init encntr",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S24102A,"Unsp injury at T2-T6 level of thoracic spinal cord, init",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S24103A,"Unsp injury at T7-T10 level of thoracic spinal cord, init",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S24104A,"Unsp injury at T11-T12 level of thoracic spinal cord, init",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S24109A,"Unsp injury at unsp level of thoracic spinal cord, init",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S24111A,"Complete lesion at T1 level of thoracic spinal cord, init",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S24112A,"Complete lesion at T2-T6 level of thoracic spinal cord, init",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S24113A,"Complete lesion at T7-T10, init",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S24114A,"Complete lesion at T11-T12, init",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S24119A,"Complete lesion at unsp level of thoracic spinal cord, init",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S24131A,"Anterior cord syndrome at T1, init",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S24132A,"Anterior cord syndrome at T2-T6, init",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S24133A,"Anterior cord syndrome at T7-T10, init",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S24134A,"Anterior cord syndrome at T11-T12, init",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S24139A,"Ant cord syndrome at unsp level of thor spinal cord, init",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S24141A,"Brown-Sequard syndrome at T1, init",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S24142A,"Brown-Sequard syndrome at T2-T6, init",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S24143A,"Brown-Sequard syndrome at T7-T10, init",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S24144A,"Brown-Sequard syndrome at T11-T12, init",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S24149A,"Brown-Sequard synd at unsp level of thor spinal cord, init",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S24151A,"Oth incomplete lesion at T1, init",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S24152A,"Oth incomplete lesion at T2-T6, init",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S24153A,"Oth incomplete lesion at T7-T10, init",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S24154A,"Oth incomplete lesion at T11-T12, init",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S24159A,"Oth incmpl lesion at unsp level of thor spinal cord, init",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S3401XA,"Concussion and edema of lumbar spinal cord, init encntr",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S3402XA,"Concussion and edema of sacral spinal cord, init encntr",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S34101A,"Unsp injury to L1 level of lumbar spinal cord, init encntr",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S34102A,"Unsp injury to L2 level of lumbar spinal cord, init encntr",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S34103A,"Unsp injury to L3 level of lumbar spinal cord, init encntr",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S34104A,"Unsp injury to L4 level of lumbar spinal cord, init encntr",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S34105A,"Unsp injury to L5 level of lumbar spinal cord, init encntr",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S34109A,"Unsp injury to unsp level of lumbar spinal cord, init encntr",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S34111A,"Complete lesion of L1 level of lumbar spinal cord, init",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S34112A,"Complete lesion of L2 level of lumbar spinal cord, init",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S34113A,"Complete lesion of L3 level of lumbar spinal cord, init",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S34114A,"Complete lesion of L4 level of lumbar spinal cord, init",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S34115A,"Complete lesion of L5 level of lumbar spinal cord, init",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S34119A,"Complete lesion of unsp level of lumbar spinal cord, init",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S34121A,"Incomplete lesion of L1 level of lumbar spinal cord, init",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S34122A,"Incomplete lesion of L2 level of lumbar spinal cord, init",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S34123A,"Incomplete lesion of L3 level of lumbar spinal cord, init",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S34124A,"Incomplete lesion of L4 level of lumbar spinal cord, init",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S34125A,"Incomplete lesion of L5 level of lumbar spinal cord, init",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S34129A,"Incomplete lesion of unsp level of lumbar spinal cord, init",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S34131A,"Complete lesion of sacral spinal cord, initial encounter",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S34132A,"Incomplete lesion of sacral spinal cord, initial encounter",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S34139A,"Unspecified injury to sacral spinal cord, initial encounter",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S343XXA,"Injury of cauda equina, initial encounter",INJ009,"Spinal cord injury (SCI), initial encounter",Y,0 Not Applicable
S140XXD,"Concussion and edema of cervical spinal cord, subs encntr",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S14101D,"Unsp injury at C1 level of cervical spinal cord, subs encntr",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S14102D,"Unsp injury at C2 level of cervical spinal cord, subs encntr",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S14103D,"Unsp injury at C3 level of cervical spinal cord, subs encntr",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S14104D,"Unsp injury at C4 level of cervical spinal cord, subs encntr",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S14105D,"Unsp injury at C5 level of cervical spinal cord, subs encntr",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S14106D,"Unsp injury at C6 level of cervical spinal cord, subs encntr",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S14107D,"Unsp injury at C7 level of cervical spinal cord, subs encntr",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S14108D,"Unsp injury at C8 level of cervical spinal cord, subs encntr",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S14109D,"Unsp injury at unsp level of cervical spinal cord, subs",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S14111D,"Complete lesion at C1 level of cervical spinal cord, subs",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S14112D,"Complete lesion at C2 level of cervical spinal cord, subs",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S14113D,"Complete lesion at C3 level of cervical spinal cord, subs",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S14114D,"Complete lesion at C4 level of cervical spinal cord, subs",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S14115D,"Complete lesion at C5 level of cervical spinal cord, subs",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S14116D,"Complete lesion at C6 level of cervical spinal cord, subs",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S14117D,"Complete lesion at C7 level of cervical spinal cord, subs",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S14118D,"Complete lesion at C8 level of cervical spinal cord, subs",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S14119D,"Complete lesion at unsp level of cervical spinal cord, subs",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S14121D,"Central cord syndrome at C1, subs",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S14122D,"Central cord syndrome at C2, subs",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S14123D,"Central cord syndrome at C3, subs",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S14124D,"Central cord syndrome at C4, subs",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S14125D,"Central cord syndrome at C5, subs",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S14126D,"Central cord syndrome at C6, subs",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S14127D,"Central cord syndrome at C7, subs",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S14128D,"Central cord syndrome at C8, subs",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S14129D,"Central cord synd at unsp level of cerv spinal cord, subs",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S14131D,"Anterior cord syndrome at C1, subs",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S14132D,"Anterior cord syndrome at C2, subs",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S14133D,"Anterior cord syndrome at C3, subs",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S14134D,"Anterior cord syndrome at C4, subs",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S14135D,"Anterior cord syndrome at C5, subs",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S14136D,"Anterior cord syndrome at C6, subs",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S14137D,"Anterior cord syndrome at C7, subs",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S14138D,"Anterior cord syndrome at C8, subs",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S14139D,"Ant cord syndrome at unsp level of cerv spinal cord, subs",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S14141D,"Brown-Sequard syndrome at C1, subs",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S14142D,"Brown-Sequard syndrome at C2, subs",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S14143D,"Brown-Sequard syndrome at C3, subs",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S14144D,"Brown-Sequard syndrome at C4, subs",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S14145D,"Brown-Sequard syndrome at C5, subs",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S14146D,"Brown-Sequard syndrome at C6, subs",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S14147D,"Brown-Sequard syndrome at C7, subs",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S14148D,"Brown-Sequard syndrome at C8, subs",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S14149D,"Brown-Sequard synd at unsp level of cerv spinal cord, subs",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S14151D,"Oth incomplete lesion at C1, subs",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S14152D,"Oth incomplete lesion at C2, subs",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S14153D,"Oth incomplete lesion at C3, subs",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S14154D,"Oth incomplete lesion at C4, subs",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S14155D,"Oth incomplete lesion at C5, subs",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S14156D,"Oth incomplete lesion at C6, subs",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S14157D,"Oth incomplete lesion at C7, subs",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S14158D,"Oth incomplete lesion at C8, subs",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S14159D,"Oth incmpl lesion at unsp level of cerv spinal cord, subs",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S240XXD,"Concussion and edema of thoracic spinal cord, subs encntr",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S24101D,"Unsp injury at T1 level of thoracic spinal cord, subs encntr",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S24102D,"Unsp injury at T2-T6 level of thoracic spinal cord, subs",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S24103D,"Unsp injury at T7-T10 level of thoracic spinal cord, subs",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S24104D,"Unsp injury at T11-T12 level of thoracic spinal cord, subs",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S24109D,"Unsp injury at unsp level of thoracic spinal cord, subs",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S24111D,"Complete lesion at T1 level of thoracic spinal cord, subs",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S24112D,"Complete lesion at T2-T6 level of thoracic spinal cord, subs",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S24113D,"Complete lesion at T7-T10, subs",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S24114D,"Complete lesion at T11-T12, subs",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S24119D,"Complete lesion at unsp level of thoracic spinal cord, subs",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S24131D,"Anterior cord syndrome at T1, subs",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S24132D,"Anterior cord syndrome at T2-T6, subs",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S24133D,"Anterior cord syndrome at T7-T10, subs",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S24134D,"Anterior cord syndrome at T11-T12, subs",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S24139D,"Ant cord syndrome at unsp level of thor spinal cord, subs",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S24141D,"Brown-Sequard syndrome at T1, subs",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S24142D,"Brown-Sequard syndrome at T2-T6, subs",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S24143D,"Brown-Sequard syndrome at T7-T10, subs",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S24144D,"Brown-Sequard syndrome at T11-T12, subs",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S24149D,"Brown-Sequard synd at unsp level of thor spinal cord, subs",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S24151D,"Oth incomplete lesion at T1, subs",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S24152D,"Oth incomplete lesion at T2-T6, subs",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S24153D,"Oth incomplete lesion at T7-T10, subs",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S24154D,"Oth incomplete lesion at T11-T12, subs",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S24159D,"Oth incmpl lesion at unsp level of thor spinal cord, subs",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S3401XD,"Concussion and edema of lumbar spinal cord, subs encntr",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S3402XD,"Concussion and edema of sacral spinal cord, subs encntr",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S34101D,"Unsp injury to L1 level of lumbar spinal cord, subs encntr",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S34102D,"Unsp injury to L2 level of lumbar spinal cord, subs encntr",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S34103D,"Unsp injury to L3 level of lumbar spinal cord, subs encntr",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S34104D,"Unsp injury to L4 level of lumbar spinal cord, subs encntr",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S34105D,"Unsp injury to L5 level of lumbar spinal cord, subs encntr",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S34109D,"Unsp injury to unsp level of lumbar spinal cord, subs encntr",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S34111D,"Complete lesion of L1 level of lumbar spinal cord, subs",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S34112D,"Complete lesion of L2 level of lumbar spinal cord, subs",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S34113D,"Complete lesion of L3 level of lumbar spinal cord, subs",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S34114D,"Complete lesion of L4 level of lumbar spinal cord, subs",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S34115D,"Complete lesion of L5 level of lumbar spinal cord, subs",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S34119D,"Complete lesion of unsp level of lumbar spinal cord, subs",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S34121D,"Incomplete lesion of L1 level of lumbar spinal cord, subs",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S34122D,"Incomplete lesion of L2 level of lumbar spinal cord, subs",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S34123D,"Incomplete lesion of L3 level of lumbar spinal cord, subs",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S34124D,"Incomplete lesion of L4 level of lumbar spinal cord, subs",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S34125D,"Incomplete lesion of L5 level of lumbar spinal cord, subs",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S34129D,"Incomplete lesion of unsp level of lumbar spinal cord, subs",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S34131D,"Complete lesion of sacral spinal cord, subsequent encounter",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S34132D,"Incomplete lesion of sacral spinal cord, subs encntr",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S34139D,"Unspecified injury to sacral spinal cord, subs encntr",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
S343XXD,"Injury of cauda equina, subsequent encounter",INJ046,"Spinal cord injury (SCI), subsequent encounter",Y,0 Not Applicable
